,,,,,,,,,,,,,,
Nombre,Zona,pH,Temperatura cÂ,Oxigeno mg/L,Conductividad Âµ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
Gazano,L1,7.61,25.6,8.2,372,0.19,0.13,8.94,14,< 200,3.4,0.3,08:15,21/11/2023
Gazano,C,8.51,25.8,9.2,369,0.7,0.1,8.94,14,< 200,3.4,0.3,08:35,21/11/2023
Gazano,L2,8.36,25.2,5.2,374,0.23,0.16,8.94,14,< 200,3.4,0.3,08:50,21/11/2023
Espinillo,L1,9.51,29.4,8.7,1434,0.41,0.41,10.6,0,< 200,1.2,0.08,09:45,21/11/2023
Espinillo,C,9.35,28,7.8,1536,1.51,0.61,10.6,0,< 200,1.2,0.08,10:02,21/11/2023
Espinillo,L2,9.26,28.6,7.8,1535,0.14,0.14,10.6,0,< 200,1.2,0.08,10:45,21/11/2023
Viale,L1,9.88,30.5,8.7,148,0.57,0.3,10.59,0,< 200,1.5,0.12,11:25,21/11/2023
Viale,C,9.8,30.5,7.2,152,2.1,0.4,10.59,0,< 200,1.5,0.12,11:45,21/11/2023
Viale,L2,9.69,34,8.2,155,0.6,0.32,10.59,0,< 200,1.5,0.12,12:15,21/11/2023
Termas,L1,9.12,30.9,5.2,398,0.6,0.37,9.79,0,< 200,< 0.5,0.08,12:45,21/11/2023
Termas,C,9.08,30.9,6.2,387,0.45,0.25,9.79,0,< 200,< 0.5,0.08,13:05,21/11/2023
Termas,L2,9.12,31.5,4.8,347,0.3,0.3,9.79,0,< 200,< 0.5,0.08,13:25,21/11/2023
Inta,L1,9.35,26.5,4,874,0.28,0.28,10.12,0,< 200,1.8,0.03,08:10,24/11/2023
Inta,C,9.28,26.6,4.7,744,0.75,0.49,10.12,0,< 200,1.8,0.03,08:24,24/11/2023
Inta,L2,9.28,26.8,4.6,846,0.26,0.26,10.12,0,< 200,1.8,0.03,8.35,24/11/2023
Hernandez,L1,7.3,26.2,2.7,237,0.45,0.39,9.17,0,< 200,2,<0.03,11:11,24/11/2023
Hernandez,C,9.28,29.2,4.5,221,0.74,0.74,9.17,0,< 200,2,<0.03,11:30,24/11/2023
Hernandez,L2,764,29,4.1,230,0.74,0.37,9.17,0,< 200,2,<0.03,11:42,24/11/2023
Crespo,L1,945,31,4.1,1932,0.42,0.42,10.57,0,< 200,<0.5,<0.03,14:00,24/11/2023
Crespo,C,941,31.51,4.4,1953,0.33,0.33,10.57,0,< 200,<0.5,<0.03,14:10,24/11/2023
Crespo,L2,952,34.5,3.2,1970,0.2,0.2,10.57,0,< 200,<0.5,<0.03,14:20,24/11/2023
Nombre,Zona,pH,Temperatura cÂ,Oxigeno mg/L,Conductividad Âµ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
Gazano,L1,9.63,23,3.6,277,0.32,0.18,11.23,19,65,4.2,0,11:15,22/3/2024
Gazano,C,9.53,23.4,4.8,231,0.28,0.18,11.23,19,65,4.2,0,11:25,22/3/2024
Gazano,L2,9.73,23.5,4.4,278,0.25,0.18,11.23,19,65,4.2,0,11:42,22/3/2024
Espinillo,L1,9.12,26.5,1.9,1528,0.6,0.3,11.33,0,45,1.4,0,08:10,12/3/2024
Espinillo,C,8.97,26.1,1.6,1470,0.8,0.8,11.33,0,45,1.4,0,08:00,12/3/2024
Espinillo,L2,8.5,25.4,0.41,1436,0.41,0.41,11.33,0,45,1.4,0,07:40,12/3/2024
Viale,L1,7.52,26,4.1,950,0.55,0.3,10.36,0,39,1.3,0.009,09:40,12/3/2024
Viale,C,7.82,26.3,5.2,950,1.05,0.3,10.36,0,39,1.3,0.009,09:55,12/3/2024
Viale,L2,7.6,26.6,6.6,950,0.6,0.3,10.36,0,39,1.3,0.009,10:05,12/3/2024
Termas,L1,8.36,27.1,5.2,177,0.52,0.52,10.82,0,27,<0.5,0,11:20,12/3/2024
Termas,C,8.72,27.2,6.2,171,0.72,0.72,10.82,0,27,<0.5,0,11:30,12/3/2024
Termas,L2,7.74,27.4,4.8,189,0.25,0.25,10.82,0,27,<0.5,0,11:45,12/3/2024
Inta,L1,8.8,22.3,3.3,395,0.4,0.4,11.83,0,73,1.7,0,09:52,22/3/2024
Inta,C,8.9,22.2,3.8,395,0.8,0.8,11.83,0,73,1.7,0,10:03,22/3/2024
Inta,L2,9.04,22,4.3,413,0.4,0.4,11.83,0,73,1.7,0,10:15,22/3/2024
Hernandez,L1,9.45,24.7,0.6,133,0.65,0.3,9.73,0,64,1.8,0.0072,11:10,26/3/2024
Hernandez,C,6.98,23.6,1.4,137,0.95,0.4,9.73,0,64,1.8,0.0072,11:20,26/3/2024
Hernandez,L2,6.8,23.6,1.2,144,0.9,0.4,9.73,0,64,1.8,0.0072,11:35,26/3/2024
