Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Nauplio,0.0,0.0,69.26286509254231,0.0
Pompholix triloba ,66.30149946555579,0.0,0.0,0.0
Brachionus havanaensis ,0.0,59.94215473858661,0.0,0.4439511653409765
Keratella tropica ,0.0,0.0,12.89986091729904,45.135035142314855
Keratella coclearis  ,0.0,0.0,0.0,48.79763226442175
Keratella tropica,31.91993653226938,4.266088214362801,0.0,0.0
Keratella quadrata ,0.0,13.304410699441531,0.0,0.0
Copepoditos ,0.0,9.689081706277715,0.6606397774045908,0.0
Copepodo calanoideo,0.0,0.0,10.239916549786804,0.0
Trichocerca grandis ,0.0,3.9045553148295,0.0,0.0
Brachionus caudatus ,0.0,1.229211858087844,0.0,2.552719201235033
Brachionus calyciflorum ,0.0,2.8199566158608325,0.0,0.0
Brachionus angularis ,0.0,0.0723065798849682,0.0,2.145763965605693
Brachionus quadridentatus ,0.0,1.8799710770525584,0.0,0.0
Moina cf. micrura ,0.0,0.0,1.3038942975724712,0.0
Brachionus clalyciflorus,0.0,0.0,1.095271210012197,0.0
Mytilina sp.,0.0,1.0845986983829834,0.0,0.0
Nauplios,0.0,1.0122921184980154,0.0,0.0
Phompholix triloba ,0.0,0.0,0.9388038942559346,0.0
Trichocerca sp. ,0.9066763906388742,0.0,0.0,0.0
Polyarthra sp.,0.7616081679843327,0.0,0.0,0.0
Brachionus angularis,0.0,0.0,0.7475660639480176,0.0
Copepodo ciclopodo sp1.,0.0,0.0,0.5910987482230483,0.0
Cladocero sp1. (gazano),0.0,0.0,0.521557718978919,0.0
Brachionus calyciflorus,0.0362670556092347,0.0,0.0,0.443951165263285
Lecane bulla ,0.0,0.0,0.0,0.4439511653742728
Gastropus sp. ,0.0,0.0,0.3129346314186448,0.0
Bedelloideos,0.0,0.0,0.3129346313717046,0.0
Keratella sp. ,0.0,0.289226319496489,0.0,0.0
Brachionus plicatilis ,0.0,0.2169197396765966,0.0,0.0
Lecane luna ,0.0,0.0,0.2086230875602741,0.0
Copepodo  ciclopodo sp2.,0.0,0.0,0.1912378302766235,0.0
Epiphane macroura ,0.0,0.0,0.1564673157093224,0.0
Moina  sp. 1 (grande),0.0,0.0,0.1564673157093224,0.0
Lecane bulla,0.0,0.1446131597916284,0.0,0.0
Brachinus quadridentatus ,0.0,0.0,0.1216968011107278,0.0
Macrothrix sp2.,0.0,0.0,0.1216968011107278,0.0
Brachionus urceolaris ,0.0,0.0,0.1043115438114305,0.0
Copepodo Cyclopoideo sp 1,0.0735196290353275,0.0,0.0,0.0
Plationus patulus ,0.0,0.0723065798849682,0.0,0.0
Mytilina ventralis ,0.0,0.0723065798849682,0.0,0.0
Brachionus dimidiatus ,0.0,0.0,0.0521557718978919,0.0
Lepadella sp1.,0.0,0.0,0.0,0.0369959304441564
Copepodo Calanoideo sp.,0.0003942071256551,0.0,0.0,0.0
Copepodito ,9.855178141378876e-05,0.0,0.0,0.0
