Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Nauplios,0.0,8.704883227909718,0.0,21.79836512285858
Copepodo calanoideo,0.0,0.0,25.13089005225076,0.0
Plationus patulus,24.858757062006447,0.0,0.0,0.0
Copepoditos ,0.0,4.883227176725493,12.216404885812706,4.632152588822026
Lecane luna,10.92278719428857,0.0,0.0,8.719346049306921
Bdelloideo ,0.0,0.0,0.0,15.258855585265312
Bdelloideos ,12.8060263648994,0.0,0.0,0.0
Chydorido sp 1 ,0.0,12.526539276546176,0.0,0.0
Cydorido sp 2. (Chiquito) ,0.0,12.10191082875005,0.0,0.0
Platyas quadricornis,11.11111111180163,0.0,0.0,0.0
Mytilina cf. bisulcata ,9.981167608192196,0.0,0.0,0.0
Lecane luna ,0.0,9.554140125412795,0.0,0.0
Keratella lenzi ,0.0,0.0,9.075043629595497,0.0
Copepdodo Ciclopoideo sp1.,0.0,0.0,0.0,8.991825613638975
Chydorido sp. 1,0.0,0.0,0.0,8.991825613066768
Macrothrix sp2.,0.0,0.0,7.853403141642498,0.0
Nauplio,0.0,0.0,7.504363002376946,0.0
Chydorido sp4.,0.0,0.0,6.980802792640918,0.0
Copepodo cyclopidos sp 1. ,0.0,6.794055202317606,0.0,0.0
Bedelloideos ,0.0,6.581740977273047,0.0,0.0
Copepodo ciclopodo sp1.,0.0,0.0,6.457242583219027,0.0
Lecane curvicornis,5.8380414316054345,0.0,0.0,0.0
Lecane bulla,0.0,5.520169851285921,0.0,0.0
Colurella sp. ,4.331450093760839,0.4246284500891178,0.0,0.2724795640050783
Harpacticoideo sp. ,0.0,0.0,0.0,4.904632152581874
Lecane closterocerca,0.0,4.458598726190515,0.0,0.2724795640050783
Chydorido sp2. (plano),0.0,0.0,4.188481675375127,0.0
Lepadella sp1.,0.0,0.0,0.0,4.087193460484894
Chydorido sp. 2,0.0,0.0,0.0,3.542234332392994
Macrotrhix sp1. (con valva) ,0.0,0.0,3.4904013957968987,0.0
Testudinella patina,0.0,3.3970276006492486,0.0,0.0
nauplios ,3.3898305087944074,0.0,0.0,0.0
Poliarthra sp. ,0.0,0.0,0.0,3.269754768633147
Euchlanis meneta ,0.7532956685833146,2.3354564754901483,0.0,0.0
Harpacticoideo  sp. ,0.0,2.972399150687519,0.0,0.0
Lepadella sp. ,2.2598870056369496,0.6369426751973711,0.0,0.0
Chydorido sp3.(triangulo),0.0,0.0,2.792321117265791,0.0
Moina cf. micrura ,0.0,0.0,2.7923211165328072,0.0
Platyonus patulus ,0.0,0.0,0.0,2.724795640050784
Mytilina ventralis  ,2.636534839533127,0.0,0.0,0.0
Plationus macracontus ,0.0,2.3354564754901483,0.0,0.0
Diaphanosoma sp. ,0.0,1.2738853503947425,1.0471204188437817,0.0
Copepodito ,2.2598870059759326,0.0,0.0,0.0
Manfredium eudactilota,0.0,2.123142250891449,0.0,0.0
Copepodo Calanoideo sp.,2.0715630884628724,0.0,0.0,0.0
Ceriodaphnia sp. ,0.0,0.0,1.9197207682642103,0.0
Alona sp1.,0.0,0.0,1.7452006984220096,0.0
Lecane lunaris ,0.0,0.0,1.745200697689025,0.0
Chydorido sp 2  (grande) ,1.6949152542277122,0.0,0.0,0.0
Lecane bulla ,1.6949152542277122,0.0,0.0,0.0
Dipleuchlanis propatella ,0.0,0.0,0.0,1.6348773844391893
Copepodo Calanoideo,0.0,0.0,0.0,1.6348773841939577
Ascomorpha sp.,0.0,0.0,0.0,1.634877383948726
Lecane ludwigi ,0.0,0.0,1.5706806282656725,0.0
Lepadella cf. ovalis,1.506591336714652,0.0,0.0,0.0
Cephalodella bicristata,0.0,1.4861995756940782,0.0,0.0
Moina sp. ,0.0,1.4861995752482184,0.0,0.0
Euchlanis meneta,0.0,0.0,0.0,1.362397819861904
Platyas quiadricornis ,0.0,1.2738853503947425,0.0,0.0
Brachionus havanaensis ,0.0,1.273885350139965,0.0,0.0
Lecane quadridentata,1.1299435028184748,0.0,0.0,0.0
Lecane leontina,0.0,1.0615711253501832,0.0,0.0
Mytilina ventralis,0.0,0.0,0.3490401395796899,0.5449591280919006
