Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Copepodo Calanoideo sp.,51.200972935543845,0.0,0.0,0.0
Moina sp. 2 ,0.0,0.0,0.0,48.96182183394276
Nauplios,0.0,29.66751918219556,0.0,0.669792364404838
Lecane bulla,0.0,24.040920715463788,0.0,0.0
Copepoditos ,0.0,2.557544756768336,12.14128035442846,8.439383791066934
Bedelloideos,0.0,0.0,21.85430463073944,0.0
Ascomorpha ecaudis ,0.0,0.0,20.97130242862448,0.0
Brachionus angularis,0.0,0.0,17.880794703837992,0.0
Copepdodo Ciclopoideo sp1.,0.0,0.0,0.0,11.319490959599165
Moina sp1,10.398297356230938,0.0,0.0,0.0
Keratella tropica,6.658558832231466,3.3248081840290147,0.0,0.0
Mytilina ventralis ,0.0,9.974424552087044,0.0,0.0
nauplios ,9.36454849617155,0.0,0.0,0.0
Copepodo  ciclopodo sp2.,0.0,0.0,8.388520971449791,0.0
Mytilina ventralis  ,7.418668287983646,0.0,0.0,0.0
Copepodito ,7.084220128696103,0.0,0.0,0.0
Keratella tropica ,0.0,0.0,0.0,6.563965170588712
Lecane lunaris,0.0,5.370843989904042,0.0,0.0
Lecane leontina,0.0,5.115089513536671,0.0,0.0
Lepadella patella ,0.5472788081765944,4.34782608673635,0.0,0.0
Pompholix triloba ,4.71267862688941,0.0,0.0,0.0
Trichocerca grandis ,0.0,4.603580562643362,0.0,0.0
Keratella quadrata ,0.0,4.603580562643362,0.0,0.0
Copepodo ciclopodo sp1.,0.0,0.0,4.415011037396021,0.0
Lepadella cf. patella ,0.0,0.0,0.0,3.9517749496991943
Nauplio,0.0,0.0,3.532008830314168,0.0
Copepodo calanoideo,0.0,0.0,3.311258279040393,0.0
Brachionus quadridentatus ,0.0,1.5345268540610013,0.0,1.674480911012095
Lecane bulla ,0.0,0.0,0.0,2.746148694349186
Lecane hamata,0.0,0.0,0.0,2.411252511423392
Dafnia sp. 1,0.0,0.0,0.0,2.411252511423392
Brachionus urceolaris ,0.0,0.0,2.2075055186980106,0.0
Copepodo Calanoideo,0.0,0.0,0.0,2.143335565950806
Chydorido sp4.,0.0,0.0,1.986754967026885,0.0
Moina  sp. 1,0.0,0.0,0.0,1.8754186204782213
Trichocerca sp ,0.0,0.0,0.0,1.7414601470185536
Bdelloideo ,0.0,0.0,0.0,1.339584728809676
Brachionus pterodinoides,0.0,0.0,1.1037527595476806,0.0
Brachionus plicatilis ,0.0,0.0,1.1037527595476806,0.0
Mytilina cf. bisulcata,0.0,0.0,0.0,1.004688546607257
Brachionus angularis ,0.8513225905212479,0.0,0.0,0.0
Lepadella sp. ,0.0304043782563565,0.7672634272606798,0.0,0.0
Polyathra sp.2 ,0.0,0.7672634272606798,0.0,0.0
Colurella sp. ,0.0,0.7672634272606798,0.0,0.0
Platyas quiadricornis ,0.0,0.7672634272606798,0.0,0.0
Cephalodella sp. ,0.0,0.0,0.0,0.7367716004112964
Platyas quadricornis,0.7297050774958219,0.0,0.0,0.0
Plationus patulus,0.7297050774958219,0.0,0.0,0.0
Epiphane macroura ,0.0,0.0,0.6622516556094032,0.0
Brachionus budapestinensis ,0.0,0.0,0.0,0.602813127675004
Brachionus havanaensis ,0.0,0.0,0.0,0.602813127675004
Moina sp. ,0.0,0.5115089513536671,0.0,0.0
Brachionus clalyciflorus,0.0,0.0,0.4415011037396021,0.0
Lecane cornuta ,0.0,0.0,0.0,0.4018754189322531
Alona cf. glabra,0.0,0.0,0.0,0.4018754189322531
Bedelloideos ,0.0,0.2557544759070125,0.0,0.0
Keratella sp. ,0.0,0.2557544759070125,0.0,0.0
Filinia sp.,0.0,0.2557544759070125,0.0,0.0
Lecane ludwigi,0.0,0.2557544759070125,0.0,0.0
Lecane luna ,0.0,0.2557544759070125,0.0,0.0
Lecane strichaea,0.1520218912817825,0.0,0.0,0.0
Lecana hamata,0.060808756512713,0.0,0.0,0.0
Lecane luna,0.0304043782563565,0.0,0.0,0.0
Trichocerca sp. ,0.0304043782563565,0.0,0.0,0.0
