Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Nauplios,0.0,23.089171975891517,0.0,51.32832080256146
Lecane luna,52.24586288585786,0.0,0.0,0.0
Lecane bulla,0.0,26.59235668747362,0.0,0.0
Keratella tropica ,0.0,0.0,23.04147465511372,2.6065162910765034
Brachionus angularis,0.0,0.0,22.350230416144644,0.0
Nauplio,0.0,0.0,20.50691244203508,0.0
Lecane bulla ,16.548463359363215,0.0,0.0,2.406015037417061
Keratella tropica,15.721040186324132,2.866242038169094,0.0,0.0
Poliarthra sp.1,0.0,14.808917195773862,0.0,0.0
Keratella quadrata ,0.0,13.057324842156376,0.0,0.0
Keratella sp.,0.0,0.0,12.096774193364428,0.0
Poliarthra sp. ,0.0,0.0,0.0,10.275689225053911
Copepoditos ,0.0,1.592356687712483,0.0,7.017543859313548
Polyathra sp.2 ,0.0,8.598726114507281,0.0,0.0
Brachionus clalyciflorus,0.0,0.0,7.373271888350677,0.0
Copepodo ciclopodo sp1.,0.0,0.0,6.5668202760127095,0.0
Pompholix triloba ,0.2364066193586842,0.0,0.0,6.16541353387746
Tricocerca sp,0.0,0.0,5.41474654336071,0.0
Mytilina ventralis  ,5.200945626387506,0.0,0.0,0.0
Ascomorpha sp.,0.0,0.0,0.0,4.812030074112318
Polyarthra sp.,4.018912529239476,0.0,0.0,0.0
Synchaeta cf. oblonga ,0.0,0.0,0.0,3.909774434990695
Hexarthra sp. 1 ,0.0,2.5477707004355143,0.0,0.0
Copepdodo Ciclopoideo sp1.,0.0,0.0,0.0,2.406015037777964
Bdelloideo ,0.0,0.0,0.0,2.305764411128694
nauplios ,2.1276595741572355,0.0,0.0,0.0
Trichocerca grandis ,0.0,1.433121019084547,0.0,0.6015037595347166
Diaphanosoma birgei,1.8912529545857857,0.0,0.0,0.0
Testudinella patina ,0.0,0.0,0.0,1.503759398295438
Brachionus havanaensis ,0.0,0.796178343951783,0.0,0.6015037591738142
Hexarthra sp.,0.0,0.0,1.3824884793897727,0.0
Trichocerca sp.,0.0,1.2738853503132983,0.0,0.0
Mytilina sp.,0.0,0.9554140127230312,0.0,0.0
Squatinella sp. ,0.0,0.0,0.0,0.8020050124723538
Mytilina ventralis ,0.0,0.796178343951783,0.0,0.0
Moina sp. 2 ,0.0,0.0,0.0,0.751879699147719
Copepodito ,0.7092198581469745,0.0,0.0,0.0
Lepadella cf. ovalis ,0.0,0.0,0.0,0.6015037595347166
Moina sp1,0.5910165484321716,0.0,0.0,0.0
Lecane leontina,0.0,0.4777070063615156,0.0,0.0
Chydorido sp. 1,0.0,0.0,0.0,0.4010025062361769
Trichocerca cf. grandis ,0.3546099290734872,0.0,0.0,0.0
Cephalodella sp1.,0.0,0.0,0.3456221198992864,0.0
Ascomorpha sp1.,0.0,0.0,0.3456221198992864,0.0
Keratella lenzi ,0.0,0.0,0.3456221198992864,0.0
Bedelloideos ,0.0,0.3184713375902673,0.0,0.0
Lepadella patella ,0.0,0.3184713375902673,0.0,0.0
Trichocerca sp ,0.0,0.0,0.0,0.3007518795869071
Lepadella cf. patella ,0.0,0.0,0.0,0.3007518795869071
Brachoinus bidentata,0.0,0.0,0.0,0.3007518795869071
Keratella coclearis  ,0.0,0.0,0.0,0.3007518795869071
Colurella sp. ,0.2364066193586842,0.0,0.0,0.0
Filinia sp. 1,0.0,0.0,0.2304147465303998,0.0
Brachionus caudatus ,0.0,0.1592356687712483,0.0,0.0
Alona sp. ,0.0,0.1592356687712483,0.0,0.0
Synchaeta sp. ,0.0,0.1592356687712483,0.0,0.0
Cephalodella sp. ,0.0,0.0,0.0,0.1503759399739047
Mytilina ventralis,0.0,0.0,0.0,0.1503759399739047
Chydorido sp1. (con placas) ,0.1182033097148031,0.0,0.0,0.0
