Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Hexarthra sp.,330.555555589,0,0,1,Rotifera,50.724637683619115
Nauplio,61.111111113999996,0,1,0,Copepoda,9.37766410907115
Polyhartra sp. ,60.555555555,0,0,1,Rotifera,9.292412616645974
Lecane luna ,52.22222222,0,0,1,Rotifera,8.013640237940969
Copepoditos ,48.888888889,0,1,0,Copepoda,7.502131286919325
Lecane closterocerca,25.0,0,0,1,Rotifera,3.836317135347754
Copepodo ciclopodo sp1.,20.000000003,0,1,0,Copepoda,3.0690537087385614
Lecane nana,17.777777776,0,0,1,Rotifera,2.7280477404189316
Bedelloideos,13.888888889,0,0,1,Rotifera,2.1312872974324693
Lecane bulla,8.888888889,0,0,1,Rotifera,1.3640238703629184
Cephalodella cf. similis,3.333333333,0,0,1,Rotifera,0.5115089513285497
Cephalodella sp1.,3.333333333,0,0,1,Rotifera,0.5115089513285497
Epiphane macroura ,1.666666667,0,0,1,Rotifera,0.2557544757410012
Ascomorpha sp1.,1.111111111,0,0,1,Rotifera,0.17050298377618323
Alona cf. glabra,1.111111111,1,0,0,Cladocera,0.17050298377618323
Chydorido sp4.,1.111111111,1,0,0,Cladocera,0.17050298377618323
Cladoceros sp2.,1.111111111,1,0,0,Cladocera,0.17050298377618323
