Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Nauplios,324.44444447,0,1,,Copepoda,50.60658579145133
Brachionus angularis ,126.66666666,0,0,1.0,Rotifera,19.757365683107512
Hexarthra sp.,82.222222219,0,0,1.0,Rotifera,12.824956671663237
Brachionus havanaensis ,33.333333336,0,0,1.0,Rotifera,5.199306759402096
Brachionus calyciflorum ,23.333333335,0,0,1.0,Rotifera,3.6395147315502703
Copepoditos ,15.555555551,0,1,,Copepoda,2.4263431534829647
Copepodo ciclopoide0 sp 2. ,8.888888889,0,1,,Copepoda,1.3864818024136378
Keratella sp. ,7.777777778,0,0,1.0,Rotifera,1.2131715771314306
Brachionus quadridentatus ,4.444444444,0,0,1.0,Rotifera,0.6932409011288293
Poliarthra sp.1,2.222222222,0,0,1.0,Rotifera,0.34662045056441465
Lepadella sp. ,2.222222222,0,0,1.0,Rotifera,0.34662045056441465
Lecane bulla,2.222222222,0,0,1.0,Rotifera,0.34662045056441465
Lecane closterocerca,2.222222222,0,0,1.0,Rotifera,0.34662045056441465
Macrothrix sp.  ,2.222222222,1,0,0.0,Cladocera,0.34662045056441465
Brachionus plicatilis ,1.111111111,0,0,1.0,Rotifera,0.17331022528220733
Epiphanes macriura,1.111111111,0,0,1.0,Rotifera,0.17331022528220733
Alona sp. ,1.111111111,1,0,0.0,Cladocera,0.17331022528220733
