Especie,Abundancia_total,Porcentaje
Keratella tropica,2.9972309299999997,28.70172559432546
Lecane bulla ,1.111494253,10.643758787473798
Lecane halyclista ,0.91954023,8.805591551266595
Brachionus angularis ,0.8356321840000001,8.002081322093819
Pompholix triloba ,0.632183908,6.053844190298775
Lepadella patella ,0.618861024,5.926263176481788
Plationus patulus,0.566666667,5.426445795981761
Lecane lunaris ,0.533333333,5.1072430959041935
Trichocerca sp. ,0.396551724,3.7974113546882045
Mytilina acanthophora ,0.229885057,2.2013978830286085
Chydorido sp1. (con placas) ,0.227272727,2.1763819998441174
Alona cf. grabla  ,0.204545455,1.9587438065629619
Moina sp2,0.204545455,1.9587438065629619
Brachionus havanaensis ,0.204336469,1.9567425397386349
Testudinella patina ,0.159090909,1.5234674008484903
Lecane furcata ,0.133333333,1.276810771582028
Brachionus  leydigi,0.133333333,1.276810771582028
Brachionus caudatus ,0.066666667,0.6384053905790544
Bdelloideos ,0.066666667,0.6384053905790544
Moina sp1,0.066666667,0.6384053905790544
nauplios ,0.045454545,0.4352763961383911
Lepadella sp. ,0.033333333,0.3192026905014868
Lecana hamata,0.033333333,0.3192026905014868
Copepodo Cyclopoideo sp 1,0.022727273,0.21763820285723595
