Especie,Abundancia_total,Porcentaje
Nauplio,4426.666667,69.26286509254231
Keratella tropica ,824.44444444,12.89986091729904
Copepodo calanoideo,654.4444444110001,10.239916549786805
Moina cf. micrura ,83.333333333,1.3038942975724712
Brachionus clalyciflorus,70.000000003,1.095271210012197
Phompholix triloba ,60.0,0.9388038942559346
Brachionus angularis,47.777777778,0.7475660639480176
Copepoditos ,42.22222222,0.6606397774045908
Copepodo ciclopodo sp1.,37.777777777,0.5910987482230483
Cladocero sp1. (gazano),33.33333333,0.521557718978919
Gastropus sp. ,20.0,0.31293463141864486
Bedelloideos,19.999999997,0.31293463137170463
Lecane luna ,13.33333333,0.20862308756027415
Copepodo  ciclopodo sp2.,12.22222222,0.19123783027662355
Moina  sp. 1 (grande),10.0,0.15646731570932243
Epiphane macroura ,10.0,0.15646731570932243
Macrothrix sp2.,7.777777778000001,0.12169680111072784
Brachinus quadridentatus ,7.777777778000001,0.12169680111072784
Brachionus urceolaris ,6.666666667,0.10431154381143053
Brachionus dimidiatus ,3.333333333,0.0521557718978919
