Especie,Abundancia_total,Porcentaje
Nauplios,266.66666667,21.79836512285858
Bdelloideo ,186.66666666,15.258855585265312
Copepdodo Ciclopoideo sp1.,110.000000007,8.991825613638975
Chydorido sp. 1,110.0,8.991825613066768
Lecane luna,106.66666667,8.719346049306921
Harpacticoideo sp. ,60.0,4.904632152581874
Copepoditos ,56.66666667,4.632152588822026
Lepadella sp1.,50.0,4.087193460484894
Chydorido sp. 2,43.333333333,3.542234332392994
Poliarthra sp. ,40.000000003,3.269754768633147
Platyonus patulus ,33.33333333,2.7247956400507833
Dipleuchlanis propatella ,20.000000003,1.6348773844391893
Copepodo Calanoideo,20.0,1.6348773841939577
Ascomorpha sp.,19.999999997,1.634877383948726
Euchlanis meneta,16.666666663,1.362397819861904
Lecane halyclista ,10.0,0.8174386920969788
Keratella tropica ,6.666666667,0.5449591280919006
Horaella cf. biemi ,6.666666667,0.5449591280919006
Mytilina ventralis,6.666666667,0.5449591280919006
Epiphanes macraura ,6.666666666,0.5449591280101567
Platya quadricornis ,6.666666666,0.5449591280101567
Hexarthra sp. ,6.666666666,0.5449591280101567
Cephalodella sp. ,3.333333333,0.27247956400507833
Colurella sp. ,3.333333333,0.27247956400507833
Lepadella cf. ovalis ,3.333333333,0.27247956400507833
Lecane scutata,3.333333333,0.27247956400507833
Lecane leontina ,3.333333333,0.27247956400507833
Lecane closterocerca,3.333333333,0.27247956400507833
Brachionus dimidiatus,3.333333333,0.27247956400507833
Plationus macrocantus ,3.333333333,0.27247956400507833
Trichocerca bicristata,3.333333333,0.27247956400507833
Dafnia sp. 1,3.333333333,0.27247956400507833
