Especie,Abundancia_total,Porcentaje
Copepodo calanoideo,240.0,25.13089005225076
Copepoditos ,116.66666666,12.216404885812706
Keratella lenzi ,86.666666663,9.075043629595497
Macrothrix sp2.,75.000000003,7.853403141642498
Nauplio,71.66666667300001,7.504363002376946
Chydorido sp4.,66.66666667,6.980802792640918
Copepodo ciclopodo sp1.,61.66666667,6.457242583219027
Chydorido sp2. (plano),40.0,4.188481675375127
Macrotrhix sp1. (con valva) ,33.33333333,3.4904013957968987
Chydorido sp3.(triangulo),26.66666667,2.792321117265791
Moina cf. micrura ,26.666666663,2.7923211165328072
Ceriodaphnia sp. ,18.333333337,1.9197207682642103
Alona sp1.,16.66666667,1.7452006984220096
Lecane lunaris ,16.666666663,1.745200697689025
Lecane ludwigi ,15.0,1.5706806282656725
Diaphanosoma sp. ,10.0,1.0471204188437817
Chydorus nitidulus ,6.666666667,0.6980802792640918
Harpacticoideos,6.666666666,0.6980802791593798
Bedelloideos,5.0,0.5235602094218909
Brachionus plicatilis ,3.333333333,0.3490401395796899
Mytilina ventralis,3.333333333,0.3490401395796899
Daphnia sp. ,3.333333333,0.3490401395796899
Cephalodella sp1.,3.333333333,0.3490401395796899
Brachionus budapestinensis ,1.666666667,0.17452006984220095
