Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Bedelloideos,109.99999996700001,0,0,1,Rotifera,21.854304630739442
Ascomorpha ecaudis ,105.55555555000001,0,0,1,Rotifera,20.97130242862448
Brachionus angularis,90.000000003,0,0,1,Rotifera,17.880794703837992
Copepoditos ,61.11111111299999,0,1,0,Copepoda,12.14128035442846
Copepodo  ciclopodo sp2.,42.22222222,0,1,0,Copepoda,8.388520971449791
Copepodo ciclopodo sp1.,22.22222222,0,1,0,Copepoda,4.415011037396021
Nauplio,17.777777778,0,1,0,Copepoda,3.532008830314168
Copepodo calanoideo,16.666666669999998,0,1,0,Copepoda,3.311258279040393
Brachionus urceolaris ,11.11111111,0,0,1,Rotifera,2.2075055186980106
Chydorido sp4.,10.0,1,0,0,Cladocera,1.986754967026885
Brachionus plicatilis ,5.555555556,0,0,1,Rotifera,1.1037527595476806
Brachionus pterodinoides,5.555555556,0,0,1,Rotifera,1.1037527595476806
Epiphane macroura ,3.333333333,0,0,1,Rotifera,0.6622516556094032
Brachionus clalyciflorus,2.222222222,0,0,1,Rotifera,0.4415011037396021
