Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Nauplios,64.444444446,0,1,,Copepoda,29.667519182195562
Lecane bulla,52.222222221,0,0,1.0,Rotifera,24.040920715463788
Mytilina ventralis ,21.666666665999998,0,0,1.0,Rotifera,9.974424552087045
Lecane lunaris,11.666666667000001,0,0,1.0,Rotifera,5.370843989904042
Lecane leontina,11.11111111,0,0,1.0,Rotifera,5.115089513536671
Keratella quadrata ,10.0,0,0,1.0,Rotifera,4.603580562643362
Trichocerca grandis ,10.0,0,0,1.0,Rotifera,4.603580562643362
Lepadella patella ,9.444444444,0,0,1.0,Rotifera,4.34782608673635
Keratella tropica,7.222222221999999,0,0,1.0,Rotifera,3.3248081840290147
Copepoditos ,5.555555555,0,1,,Copepoda,2.5575447567683356
Brachionus quadridentatus ,3.333333333,0,0,1.0,Rotifera,1.5345268540610013
Colurella sp. ,1.666666667,0,0,1.0,Rotifera,0.7672634272606798
Polyathra sp.2 ,1.666666667,0,0,1.0,Rotifera,0.7672634272606798
Lepadella sp. ,1.666666667,0,0,1.0,Rotifera,0.7672634272606798
Platyas quiadricornis ,1.666666667,0,0,1.0,Rotifera,0.7672634272606798
Moina sp. ,1.111111111,1,0,0.0,Cladocera,0.5115089513536671
Filinia sp.,0.555555556,0,0,1.0,Rotifera,0.25575447590701256
Keratella sp. ,0.555555556,0,0,1.0,Rotifera,0.25575447590701256
Lecane ludwigi,0.555555556,0,0,1.0,Rotifera,0.25575447590701256
Lecane luna ,0.555555556,0,0,1.0,Rotifera,0.25575447590701256
Bedelloideos ,0.555555556,0,0,1.0,Rotifera,0.25575447590701256
