Especie,Abundancia_total,Porcentaje
nauplios ,260.0,25.026737969260797
Copepodo Cyclopoideo sp 1,244.444444411,23.52941176275244
Lepadella cf. ovalis,160.0,15.401069519545105
Copepodito ,153.333333303,14.759358286644272
Keratella tropica,57.77777778000001,5.561497326716304
Pompholix triloba ,56.66666667,5.454545455159747
Lecane bulla ,52.222222226,5.026737968548497
Moina sp1,20.0,1.9251336899431382
Bdelloideos ,13.333333333,1.2834224599300066
Lepadella patella ,11.11111111,1.0695187165281248
Mytilina ventralis  ,6.666666667,0.6417112300131317
Polyarthra sp.,2.222222222,0.213903743305625
Trichocerca sp. ,1.111111111,0.1069518716528125
