Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Nauplios,100.77777777,0,1,0,Copepoda,50.557413599357204
Copepoditos ,38.111111107,0,1,0,Copepoda,19.119286509423645
Copepdodo Ciclopoideo sp1.,24.555555556,0,1,0,Copepoda,12.318840580509914
Poliarthra sp. ,9.888888889,0,0,1,Rotifera,4.960981048225598
Bdelloideo ,6.666666667,0,0,1,Rotifera,3.344481605674993
Trichocerca sp ,3.333333333,0,0,1,Rotifera,1.6722408025866602
Lecane lunaris ,3.111111111,0,0,1,Rotifera,1.5607580825145506
Platyonus patulus ,3.111111111,0,0,1,Rotifera,1.5607580825145506
Keratella tropica ,2.333333334,0,0,1,Rotifera,1.170568562262167
Lepadella sp1.,1.666666667,0,0,1,Rotifera,0.8361204015441662
Brachionus havanaensis ,1.222222223,0,0,1,Rotifera,0.6131549613999471
Brachionus calyciflorus,1.111111111,0,0,1,Rotifera,0.55741360086222
Lecane bulla ,1.111111111,0,0,1,Rotifera,0.55741360086222
Lecan elsa ,1.111111111,0,0,1,Rotifera,0.55741360086222
Ascomorpha sp.,0.666666667,0,0,1,Rotifera,0.33444816071800093
Brachoinus bidentata,0.555555556,0,0,1,Rotifera,0.27870680068194614
