Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Tricocerca sp,96.666666666,0,0,1,Rotifera,19.572553431038425
Nauplio,66.111111107,0,1,0,Copepoda,13.385826771062062
Ascomorpha sp1.,50.55555555,0,0,1,Rotifera,10.236220471500314
Brachinus quadridentatus ,50.0,0,0,1,Rotifera,10.123734533365555
Epiphane macroura ,36.66666667,0,0,1,Rotifera,7.424071991809657
Brachionus clalyciflorus,31.111111114000003,0,0,1,Rotifera,6.2992125991234955
Keratella sp.,31.111111114000003,0,0,1,Rotifera,6.2992125991234955
Brachionus angularis,28.888888884,0,0,1,Rotifera,5.849268840510223
Filinia sp. 1,21.666666667,0,0,1,Rotifera,4.3869516311925665
Platya cuadricornis,18.88888889,0,0,1,Rotifera,3.8245219350519597
Copepodo ciclopodo sp1.,15.0,0,1,0,Copepoda,3.037120360009667
Filinia sp 2. ,14.444444441,0,0,1,Rotifera,2.924634420052637
Polyhartra sp. ,10.0,0,0,1,Rotifera,2.024746906673111
Brachionus caudatus,9.444444444,0,0,1,Rotifera,1.9122609673235054
Brachionus havanaensis,6.666666667,0,0,1,Rotifera,1.3498312711828993
Brachonus mirus,4.444444444,0,0,1,Rotifera,0.8998875139869497
Lepadella sp.,1.111111111,0,0,1,Rotifera,0.22497187849673742
Copepodo  ciclopodo sp2.,1.111111111,0,1,0,Copepoda,0.22497187849673742
