Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Nauplios,19.652777778,0,1,,Copepoda,21.326299924600345
Keratella tropica,17.361111114,0,0,1.0,Rotifera,18.83948756882323
Lecane bulla,9.722222222,0,0,1.0,Rotifera,10.550113036544323
Bedelloideos ,8.194444444,0,0,1.0,Rotifera,8.892238130522605
Macrochaetus sericus,6.1111111110000005,0,0,1.0,Rotifera,6.631499623001723
Lecane luna ,4.722222222,0,0,1.0,Rotifera,5.124340617626082
Copepoditos ,4.583333333000001,0,1,,Copepoda,4.973624716980003
Lecane lunaris,2.708333333,0,0,1.0,Rotifera,2.9389600598856624
Mytilina sp.,2.5,0,0,1.0,Rotifera,2.712886209459121
Brachionus havanaensis ,2.083333333,0,0,1.0,Rotifera,2.2607385075208826
Polyathra sp.2 ,1.388888889,0,0,1.0,Rotifera,1.5071590053756396
Filinia sp.,1.25,0,0,1.0,Rotifera,1.3564431047295604
Pompholix triloba ,1.25,0,0,1.0,Rotifera,1.3564431047295604
Chydorido sp 1 ,1.25,1,0,0.0,Cladocera,1.3564431047295604
Lecane leontina,1.1805555559999998,0,0,1.0,Rotifera,1.2810851549490976
Ascomorpha sp. ,0.833333333,0,0,1.0,Rotifera,0.9042954027913221
Copepodo cyclopidos sp 1. ,0.833333333,0,1,,Copepoda,0.9042954027913221
Keratella quadrata ,0.833333333,0,0,1.0,Rotifera,0.9042954027913221
Mytilina ventralis ,0.625,0,0,1.0,Rotifera,0.6782215523647802
Trichocerca grandis ,0.625,0,0,1.0,Rotifera,0.6782215523647802
Brachionus plicatilis ,0.555555556,0,0,1.0,Rotifera,0.6028636025843176
Brachionus angularis ,0.416666667,0,0,1.0,Rotifera,0.4521477019382382
Lecane cf. dicipiens,0.416666667,0,0,1.0,Rotifera,0.4521477019382382
Lecane ludwigi,0.416666667,0,0,1.0,Rotifera,0.4521477019382382
Lecane obtusa,0.416666667,0,0,1.0,Rotifera,0.4521477019382382
Mytilina bisulcata ,0.416666667,0,0,1.0,Rotifera,0.4521477019382382
Lepadella rhomboides,0.277777778,0,0,1.0,Rotifera,0.3014318012921588
Lecane pyriformis,0.277777778,0,0,1.0,Rotifera,0.3014318012921588
Cephalodella sp. ,0.208333333,0,0,1.0,Rotifera,0.22607385042654188
Brachionus caudatus ,0.208333333,0,0,1.0,Rotifera,0.22607385042654188
Lepadella ovalis,0.208333333,0,0,1.0,Rotifera,0.22607385042654188
Scaridium longicaudum,0.208333333,0,0,1.0,Rotifera,0.22607385042654188
Testudinella patina,0.208333333,0,0,1.0,Rotifera,0.22607385042654188
Moina sp. ,0.208333333,1,0,0.0,Cladocera,0.22607385042654188
