Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Lecane luna,736.6666667,0,0,1,Rotifera,52.24586288585786
Lecane bulla ,233.33333337,0,0,1,Rotifera,16.548463359363215
Keratella tropica,221.66666663,0,0,1,Rotifera,15.721040186324132
Mytilina ventralis  ,73.333333333,0,0,1,Rotifera,5.200945626387506
Polyarthra sp.,56.666666663,0,0,1,Rotifera,4.018912529239476
nauplios ,29.999999995999996,0,1,0,Copepoda,2.1276595741572355
Diaphanosoma birgei,26.66666666,1,0,0,Cladocera,1.8912529545857857
Copepodito ,10.0,0,1,0,Copepoda,0.7092198581469745
Moina sp1,8.333333333,1,0,0,Cladocera,0.5910165484321716
Trichocerca cf. grandis ,5.0,0,0,1,Rotifera,0.35460992907348726
Colurella sp. ,3.333333333,0,0,1,Rotifera,0.2364066193586842
Pompholix triloba ,3.333333333,0,0,1,Rotifera,0.2364066193586842
Chydorido sp1. (con placas) ,1.666666667,1,0,0,Cladocera,0.1182033097148031
