Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Nauplios,142.22222222,0,1,0,Copepoda,51.328320802561464
Poliarthra sp. ,28.472222227,0,0,1,Rotifera,10.275689225053913
Copepoditos ,19.444444443000002,0,1,0,Copepoda,7.017543859313548
Pompholix triloba ,17.083333333,0,0,1,Rotifera,6.16541353387746
Ascomorpha sp.,13.33333333,0,0,1,Rotifera,4.812030074112318
Synchaeta cf. oblonga ,10.83333333,0,0,1,Rotifera,3.9097744349906947
Keratella tropica ,7.222222223,0,0,1,Rotifera,2.6065162910765034
Copepdodo Ciclopoideo sp1.,6.666666667,0,1,0,Copepoda,2.406015037777964
Lecane bulla ,6.666666665999999,0,0,1,Rotifera,2.4060150374170615
Bdelloideo ,6.388888889,0,0,1,Rotifera,2.305764411128694
Testudinella patina ,4.166666666,0,0,1,Rotifera,1.503759398295438
Squatinella sp. ,2.222222222,0,0,1,Rotifera,0.8020050124723538
Moina sp. 2 ,2.083333333,1,0,0,Cladocera,0.751879699147719
Lepadella cf. ovalis ,1.666666667,0,0,1,Rotifera,0.6015037595347166
Trichocerca grandis ,1.666666667,0,0,1,Rotifera,0.6015037595347166
Brachionus havanaensis ,1.666666666,0,0,1,Rotifera,0.6015037591738142
Chydorido sp. 1,1.111111111,1,0,0,Cladocera,0.4010025062361769
Brachoinus bidentata,0.833333333,0,0,1,Rotifera,0.3007518795869071
Keratella coclearis  ,0.833333333,0,0,1,Rotifera,0.3007518795869071
Trichocerca sp ,0.833333333,0,0,1,Rotifera,0.3007518795869071
Lepadella cf. patella ,0.833333333,0,0,1,Rotifera,0.3007518795869071
Cephalodella sp. ,0.416666667,0,0,1,Rotifera,0.1503759399739047
Mytilina ventralis,0.416666667,0,0,1,Rotifera,0.1503759399739047
