Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Keratella tropica ,111.11111111,0,0,1,Rotifera,23.04147465511372
Brachionus angularis,107.77777778000001,0,0,1,Rotifera,22.350230416144644
Nauplio,98.88888888299999,0,1,0,Copepoda,20.50691244203508
Keratella sp.,58.33333333,0,0,1,Rotifera,12.096774193364428
Brachionus clalyciflorus,35.555555549000005,0,0,1,Rotifera,7.373271888350677
Copepodo ciclopodo sp1.,31.666666663,0,1,0,Copepoda,6.5668202760127095
Tricocerca sp,26.111111108,0,0,1,Rotifera,5.41474654336071
Hexarthra sp.,6.666666667,0,0,1,Rotifera,1.3824884793897727
Cephalodella sp1.,1.666666667,0,0,1,Rotifera,0.34562211989928643
Ascomorpha sp1.,1.666666667,0,0,1,Rotifera,0.34562211989928643
Keratella lenzi ,1.666666667,0,0,1,Rotifera,0.34562211989928643
Filinia sp. 1,1.111111111,0,0,1,Rotifera,0.23041474653039987
