Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Lecane bulla,556.666666667,0,0,1.0,Rotifera,26.59235668747362
Nauplios,483.33333337,0,1,,Copepoda,23.089171975891514
Poliarthra sp.1,309.99999997,0,0,1.0,Rotifera,14.808917195773862
Keratella quadrata ,273.333333367,0,0,1.0,Rotifera,13.057324842156376
Polyathra sp.2 ,180.0,0,0,1.0,Rotifera,8.598726114507281
Keratella tropica,60.0,0,0,1.0,Rotifera,2.866242038169094
Hexarthra sp. 1 ,53.33333333,0,0,1.0,Rotifera,2.5477707004355143
Copepoditos ,33.33333333,0,1,,Copepoda,1.592356687712483
Trichocerca grandis ,30.0,0,0,1.0,Rotifera,1.433121019084547
Trichocerca sp.,26.666666667,0,0,1.0,Rotifera,1.2738853503132985
Mytilina sp.,20.0,0,0,1.0,Rotifera,0.9554140127230313
Mytilina ventralis ,16.666666667,0,0,1.0,Rotifera,0.796178343951783
Brachionus havanaensis ,16.666666667,0,0,1.0,Rotifera,0.796178343951783
Lecane leontina,10.0,0,0,1.0,Rotifera,0.47770700636151564
Lepadella patella ,6.666666667,0,0,1.0,Rotifera,0.3184713375902673
Bedelloideos ,6.666666667,0,0,1.0,Rotifera,0.3184713375902673
Brachionus caudatus ,3.333333333,0,0,1.0,Rotifera,0.1592356687712483
Synchaeta sp. ,3.333333333,0,0,1.0,Rotifera,0.1592356687712483
Alona sp. ,3.333333333,1,0,0.0,Cladocera,0.1592356687712483
