Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Keratella tropica,75.00036671608865,0.0,0.0,0.0
Hexarthra sp.,0.0,12.824956671663235,50.72463768361912,0.0
Nauplios,0.0,50.60658579145133,0.0,8.322496748939177
Keratella tropica ,0.0,0.0,0.0,55.91677503614104
Brachionus angularis ,0.0,19.757365683107512,0.0,1.5604681401188785
Brachionus havanaensis ,6.2157127318310765,5.199306759402096,0.0,0.3901170351467547
Copepoditos ,0.0,2.4263431534829647,7.502131286919325,1.1703511052061937
Chydorido cf. chinensis,0.0,0.0,0.0,10.923276982704708
Pompholix triloba ,0.0,0.0,0.0,10.663198959351565
Nauplio,0.0,0.0,9.37766410907115,0.0
Polyhartra sp. ,0.0,0.0,9.292412616645974,0.0
Lecane luna ,0.0,0.0,8.013640237940969,0.0
Keratella cuernito,5.667849910500875,0.0,0.0,0.0
Brachionus quadridentatus,4.42800774888872,0.0,0.0,0.0
Lecane closterocerca,0.0,0.3466204505644146,3.836317135347754,0.0
Brachionus calyciflorum ,0.0,3.6395147315502703,0.0,0.0
Trichocerca sp ,0.0,0.0,0.0,3.1209362797696163
Copepodo ciclopodo sp1.,0.0,0.0,3.069053708738561,0.0
Lecane bulla ,2.99234312269503,0.0,0.0,0.0
Lecane nana,0.0,0.0,2.728047740418932,0.0
Mytilina ventralis  ,2.3308006040491067,0.0,0.0,0.0
Bedelloideos,0.0,0.0,2.1312872974324693,0.0
Lepadella sp1.,0.0,0.0,0.0,1.950585175265633
Lecane bulla,0.0,0.3466204505644146,1.3640238703629184,0.0
Lecane lunaris ,1.1551324534595222,0.0,0.0,0.5201560467062928
Copepodo ciclopoide0 sp 2. ,0.0,1.3864818024136378,0.0,0.0
Trichocerca sp. ,1.2651450695928887,0.0,0.0,0.0
Keratella sp. ,0.0,1.2131715771314306,0.0,0.0
Moina  sp. 1,0.0,0.0,0.0,1.0403120934125856
Brachionus quadridentatus ,0.0,0.6932409011288293,0.0,0.2600780233531464
Lecane luna,0.0,0.0,0.0,0.7802340702935094
Lecane hamata,0.0,0.0,0.0,0.7802340700594392
Poliarthra sp. ,0.0,0.0,0.0,0.7802340700594392
Brachionus caudatus ,0.0,0.0,0.0,0.7802340700594392
Keratella coclearis  ,0.0,0.0,0.0,0.7802340700594392
Cephalodella sp1.,0.0,0.0,0.5115089513285497,0.0
Cephalodella cf. similis,0.0,0.0,0.5115089513285497,0.0
Lepadella cf. ovalis,0.4723208214470651,0.0,0.0,0.0
Colurella sp. ,0.4723208214470651,0.0,0.0,0.0
Macrothrix sp.  ,0.0,0.3466204505644146,0.0,0.0
Poliarthra sp.1,0.0,0.3466204505644146,0.0,0.0
Lepadella sp. ,0.0,0.3466204505644146,0.0,0.0
Copepdodo Ciclopoideo sp1.,0.0,0.0,0.0,0.2600780233531464
Epiphane macroura ,0.0,0.0,0.2557544757410012,0.0
Alona sp. ,0.0,0.1733102252822073,0.0,0.0
Brachionus plicatilis ,0.0,0.1733102252822073,0.0,0.0
Epiphanes macriura,0.0,0.1733102252822073,0.0,0.0
Cladoceros sp2.,0.0,0.0,0.1705029837761832,0.0
Chydorido sp4.,0.0,0.0,0.1705029837761832,0.0
Alona cf. glabra,0.0,0.0,0.1705029837761832,0.0
Ascomorpha sp1.,0.0,0.0,0.1705029837761832,0.0
