Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Nauplios,0.0,15.734265735811654,0.0,37.49161636656943
Brachionus quadridentatus ,0.0,0.0,0.0,38.609993290713405
Keratella tropica,28.70172559432546,2.09790209789843,0.0,0.0
Brachionus havanaensis,0.0,0.0,24.3243243233645,0.0
Copepoditos ,0.0,1.048951048949215,22.02702702561731,0.1961770623740876
Brachionus havanaensis ,1.9567425397386349,18.88111888108587,0.0,0.0
Testudinella patina ,1.5234674008484903,0.0,5.135135134986559,13.950368881678918
Lecane quadridentata ,0.0,13.286713284941806,0.0,0.0
Lecane bulla,0.0,12.237762235992593,0.0,0.0
Lecane bulla ,10.643758787473798,0.0,0.0,0.6036217302007215
Brachionus angularis ,8.002081322093819,2.09790209789843,0.0,0.0
Lecane halyclista ,8.805591551266595,0.0,0.0,0.0
Keratella tropica ,0.0,0.0,3.783783784229073,4.024144869051089
Testudinella patina,0.0,6.643356645093281,0.0,0.0
Pompholix triloba ,6.053844190298775,0.0,0.0,0.3018108654927148
Nauplio,0.0,0.0,5.945945946251862,0.0
Lepadella patella ,5.926263176481788,0.0,0.0,0.0
Brachionus angularis,0.0,0.0,5.675675675451716,0.0
Plationus patulus,5.426445795981761,0.0,0.0,0.0
Lecane lunaris ,5.1072430959041935,0.0,0.0,0.0
Lecane leontina,0.0,4.895104894921513,0.0,0.0
Bedelloideos ,0.0,4.545454545621424,0.0,0.0
Lepadella sp.,0.0,0.0,4.32432432469423,0.0
Anuraeopsis fissa,0.0,0.0,3.108108108526004,0.8718980549087553
Chydorido sp4.,0.0,0.0,3.9189189188183344,0.0
Trichocerca sp. ,3.797411354688205,0.0,0.0,0.0
Brachinus quadridentatus ,0.0,0.0,3.783783784229073,0.0
Polyhartra sp. ,0.0,0.0,3.648648648991161,0.0
Bedelloideos,0.0,0.0,3.513513513915413,0.0
Copepodo ciclopodo sp1.,0.0,0.0,2.972972973450256,0.0
Euchlanis dilatata,0.0,2.7972027970230817,0.0,0.0
Mytilina ventralis ,0.0,2.7972027970230817,0.0,0.0
Hexarthra sp. ,0.0,0.0,0.0,2.615694164726265
Mytilina acanthophora ,2.2013978830286085,0.0,0.0,0.0
Chydorido sp1. (con placas) ,2.1763819998441174,0.0,0.0,0.0
Lecane luna ,0.0,2.09790209789843,0.0,0.0
Lecane closterocerca,0.0,0.3496503498245635,1.6216216215576331,0.1006036215693355
Alona cf. grabla  ,1.9587438065629617,0.0,0.0,0.0
Moina sp2,1.9587438065629617,0.0,0.0,0.0
Daphnia sp. ,0.0,0.0,1.6216216215576331,0.0
Brachionus bidentata,0.0,1.3986013987737789,0.0,0.0
Brachionus  leydigi,1.276810771582028,0.0,0.0,0.0
Lecane furcata ,1.276810771582028,0.0,0.0,0.0
Chydorido sp1. (grande) ,0.0,0.0,1.0810810810924762,0.0
Trchicerca cf. elongata,0.0,1.048951048949215,0.0,0.0
Hexarthra sp. 1 ,0.0,1.048951048949215,0.0,0.0
Platyas quiadricornis ,0.0,1.048951048949215,0.0,0.0
Lecane furcata,0.0,1.048951048949215,0.0,0.0
Ascomorph sp2.,0.0,0.0,0.9459459458545652,0.0
Bdelloideo ,0.0,0.0,0.0,0.8718980549087553
Mytilina ventralis,0.0,0.0,0.8108108107788167,0.0
Keratella sp. ,0.0,0.6993006991246515,0.0,0.0
Ascomorpha sp. ,0.0,0.6993006991246515,0.0,0.0
Epiphanes macriura,0.0,0.6993006991246515,0.0,0.0
Copepodo cyclopidos sp 1. ,0.0,0.6993006991246515,0.0,0.0
Cephalodella sp1.,0.0,0.0,0.675675675703068,0.0
Bdelloideos ,0.6384053905790544,0.0,0.0,0.0
Moina sp1,0.6384053905790544,0.0,0.0,0.0
Brachionus caudatus ,0.6384053905790544,0.0,0.0,0.0
Moina cf. micrura ,0.0,0.0,0.540540540465157,0.0
Ascomorpha sp1.,0.0,0.0,0.540540540465157,0.0
nauplios ,0.4352763961383911,0.0,0.0,0.0
Alona sp. ,0.0,0.3496503498245635,0.0,0.0
Lecane lunaris,0.0,0.3496503498245635,0.0,0.0
Anuraeopsis fissa ,0.0,0.3496503498245635,0.0,0.0
Chydorido sp 1 ,0.0,0.3496503498245635,0.0,0.0
Lecane cf. dicipiens,0.0,0.3496503498245635,0.0,0.0
Lecane elsa ,0.0,0.3496503498245635,0.0,0.0
Lecana hamata,0.3192026905014868,0.0,0.0,0.0
Lepadella sp. ,0.3192026905014868,0.0,0.0,0.0
Copepodo Cyclopoideo sp 1,0.2176382028572359,0.0,0.0,0.0
Brachionus calyciflorus,0.0,0.0,0.0,0.1307847085109611
Lepadella sp1.,0.0,0.0,0.0,0.1006036215693355
Asplachna sp. ,0.0,0.0,0.0,0.0653923538631264
Lecane luna,0.0,0.0,0.0,0.0653923538631264
