Especie,Invierno_%,Verano_%,Primavera_%,Otoño_%
Nauplios,0.0,21.326299924600345,0.0,50.5574135993572
nauplios ,25.0267379692608,0.0,0.0,0.0
Keratella tropica,5.561497326716304,18.83948756882323,0.0,0.0
Copepoditos ,0.0,4.973624716980003,0.0,19.119286509423645
Copepodo Cyclopoideo sp 1,23.52941176275244,0.0,0.0,0.0
Tricocerca sp,0.0,0.0,19.572553431038425,0.0
Lepadella cf. ovalis,15.401069519545104,0.0,0.0,0.0
Copepodito ,14.759358286644272,0.0,0.0,0.0
Nauplio,0.0,0.0,13.385826771062062,0.0
Copepdodo Ciclopoideo sp1.,0.0,0.0,0.0,12.318840580509914
Lecane bulla,0.0,10.550113036544325,0.0,0.0
Ascomorpha sp1.,0.0,0.0,10.236220471500314,0.0
Brachinus quadridentatus ,0.0,0.0,10.123734533365557,0.0
Bedelloideos ,0.0,8.892238130522605,0.0,0.0
Epiphane macroura ,0.0,0.0,7.424071991809657,0.0
Pompholix triloba ,5.454545455159747,1.3564431047295604,0.0,0.0
Macrochaetus sericus,0.0,6.631499623001723,0.0,0.0
Keratella sp.,0.0,0.0,6.299212599123496,0.0
Brachionus clalyciflorus,0.0,0.0,6.299212599123496,0.0
Brachionus angularis,0.0,0.0,5.849268840510223,0.0
Lecane bulla ,5.026737968548497,0.0,0.0,0.55741360086222
Lecane luna ,0.0,5.124340617626082,0.0,0.0
Poliarthra sp. ,0.0,0.0,0.0,4.960981048225598
Filinia sp. 1,0.0,0.0,4.386951631192567,0.0
Platya cuadricornis,0.0,0.0,3.82452193505196,0.0
Bdelloideo ,0.0,0.0,0.0,3.344481605674993
Copepodo ciclopodo sp1.,0.0,0.0,3.037120360009667,0.0
Lecane lunaris,0.0,2.9389600598856624,0.0,0.0
Filinia sp 2. ,0.0,0.0,2.924634420052637,0.0
Brachionus havanaensis ,0.0,2.2607385075208826,0.0,0.6131549613999471
Mytilina sp.,0.0,2.712886209459121,0.0,0.0
Polyhartra sp. ,0.0,0.0,2.024746906673111,0.0
Moina sp1,1.9251336899431384,0.0,0.0,0.0
Brachionus caudatus,0.0,0.0,1.9122609673235051,0.0
Trichocerca sp ,0.0,0.0,0.0,1.6722408025866602
Platyonus patulus ,0.0,0.0,0.0,1.5607580825145506
Lecane lunaris ,0.0,0.0,0.0,1.5607580825145506
Polyathra sp.2 ,0.0,1.5071590053756396,0.0,0.0
Filinia sp.,0.0,1.3564431047295604,0.0,0.0
Chydorido sp 1 ,0.0,1.3564431047295604,0.0,0.0
Brachionus havanaensis,0.0,0.0,1.3498312711828993,0.0
Bdelloideos ,1.2834224599300066,0.0,0.0,0.0
Lecane leontina,0.0,1.2810851549490976,0.0,0.0
Keratella tropica ,0.0,0.0,0.0,1.170568562262167
Lepadella patella ,1.0695187165281248,0.0,0.0,0.0
Keratella quadrata ,0.0,0.904295402791322,0.0,0.0
Ascomorpha sp. ,0.0,0.904295402791322,0.0,0.0
Copepodo cyclopidos sp 1. ,0.0,0.904295402791322,0.0,0.0
Brachonus mirus,0.0,0.0,0.8998875139869497,0.0
Lepadella sp1.,0.0,0.0,0.0,0.8361204015441662
Mytilina ventralis ,0.0,0.6782215523647802,0.0,0.0
Trichocerca grandis ,0.0,0.6782215523647802,0.0,0.0
Mytilina ventralis  ,0.6417112300131317,0.0,0.0,0.0
Brachionus plicatilis ,0.0,0.6028636025843176,0.0,0.0
Brachionus calyciflorus,0.0,0.0,0.0,0.55741360086222
Lecan elsa ,0.0,0.0,0.0,0.55741360086222
Brachionus angularis ,0.0,0.4521477019382382,0.0,0.0
Lecane ludwigi,0.0,0.4521477019382382,0.0,0.0
Lecane cf. dicipiens,0.0,0.4521477019382382,0.0,0.0
Mytilina bisulcata ,0.0,0.4521477019382382,0.0,0.0
Lecane obtusa,0.0,0.4521477019382382,0.0,0.0
Ascomorpha sp.,0.0,0.0,0.0,0.3344481607180009
Lecane pyriformis,0.0,0.3014318012921588,0.0,0.0
Lepadella rhomboides,0.0,0.3014318012921588,0.0,0.0
Brachoinus bidentata,0.0,0.0,0.0,0.2787068006819461
Brachionus caudatus ,0.0,0.2260738504265418,0.0,0.0
Cephalodella sp. ,0.0,0.2260738504265418,0.0,0.0
Scaridium longicaudum,0.0,0.2260738504265418,0.0,0.0
Testudinella patina,0.0,0.2260738504265418,0.0,0.0
Lepadella ovalis,0.0,0.2260738504265418,0.0,0.0
Moina sp. ,0.0,0.2260738504265418,0.0,0.0
Copepodo  ciclopodo sp2.,0.0,0.0,0.2249718784967374,0.0
Lepadella sp.,0.0,0.0,0.2249718784967374,0.0
Polyarthra sp.,0.213903743305625,0.0,0.0,0.0
Trichocerca sp. ,0.1069518716528125,0.0,0.0,0.0
