Especie,Abundancia_total,Porcentaje_dominancia
Hexarthra sp.,412.777777808,23.868129914537356
Nauplios,360.00000002900003,20.816350181337437
Keratella tropica ,238.88888893,13.813318794435883
Brachionus angularis ,133.333333326,7.709759325376171
Copepoditos ,69.44444444,4.015499648597283
Nauplio,61.111111114,3.5336396911588066
Polyhartra sp. ,60.555555555,3.5015156937688037
Lecane luna ,52.22222222,3.019655735809919
Chydorido cf. chinensis,46.66666667,2.698415764222817
Pompholix triloba ,45.555555559,2.6341677698475734
Brachionus havanaensis ,35.584886131000005,2.0576318077951186
Lecane closterocerca,27.222222222,1.5740758623380262
Brachionus calyciflorum ,23.333333335,1.3492078821114084
Copepodo ciclopodo sp1.,20.000000003,1.1564638990435008
Lecane nana,17.777777776,1.0279679100038976
Bedelloideos,13.888888889,0.8030999297772798
Trichocerca sp ,13.33333333,0.7709759323872769
Lecane bulla,11.111111111,0.6424799438102592
Copepodo ciclopoide0 sp 2. ,8.888888889,0.513983955059772
Lepadella sp1.,8.333333333,0.4818599578432387
Keratella sp. ,7.777777778,0.4497359606845284
Keratella tropica,7.057384403,0.40808051412589647
Brachionus quadridentatus ,5.555555555,0.321239971876218
Moina  sp. 1,4.444444444,0.2569919775009744
Lecane luna,3.333333334,0.192743983183554
Poliarthra sp. ,3.333333333,0.19274398312573082
Lecane hamata,3.333333333,0.19274398312573082
Keratella coclearis  ,3.333333333,0.19274398312573082
Brachionus caudatus ,3.333333333,0.19274398312573082
Cephalodella cf. similis,3.333333333,0.19274398312573082
Cephalodella sp1.,3.333333333,0.19274398312573082
Lecane lunaris ,2.3309178740000003,0.13478111862559422
Poliarthra sp.1,2.222222222,0.1284959887504872
Lepadella sp. ,2.222222222,0.1284959887504872
Macrothrix sp.  ,2.222222222,0.1284959887504872
Epiphane macroura ,1.666666667,0.096371991591777
Alona cf. glabra,1.111111111,0.0642479943752436
Cladoceros sp2.,1.111111111,0.0642479943752436
Copepdodo Ciclopoideo sp1.,1.111111111,0.0642479943752436
Brachionus plicatilis ,1.111111111,0.0642479943752436
Chydorido sp4.,1.111111111,0.0642479943752436
Alona sp. ,1.111111111,0.0642479943752436
Ascomorpha sp1.,1.111111111,0.0642479943752436
Epiphanes macriura,1.111111111,0.0642479943752436
Keratella cuernito,0.533333333,0.03083903728392643
Brachionus quadridentatus,0.416666667,0.02409299791240005
Lecane bulla ,0.281573499,0.016281479323600842
Mytilina ventralis  ,0.219323672,0.012681995441780596
Trichocerca sp. ,0.119047619,0.0068837136809967005
Colurella sp. ,0.044444444,0.0025699197495675386
Lepadella cf. ovalis,0.044444444,0.0025699197495675386
