Especie,Abundancia_total,Porcentaje_dominancia
Brachionus havanaensis,150.0,15.869457146914815
Copepoditos ,138.08333333000002,14.608716939890595
Nauplios,77.777777783,8.228607410063878
Testudinella patina ,49.603535356,5.247874524450106
Brachionus quadridentatus ,49.20299145,5.20549842877194
Nauplio,36.66666667,3.879200636265165
Brachionus havanaensis ,36.204336469,3.830287774181871
Brachionus angularis,35.0,3.7028733342801234
Keratella tropica ,28.461538465000004,3.0111277667039014
Lepadella sp.,26.66666667,2.821236826470844
Lecane quadridentata ,25.33333333,2.680174984459625
Chydorido sp4.,24.166666667,2.5567458737048745
Brachinus quadridentatus ,23.333333337000003,2.4685822232413357
Lecane bulla,23.33333333,2.468582222500761
Polyhartra sp. ,22.500000003,2.3804185723546114
Bedelloideos,21.66666667,2.2922549215736834
Anuraeopsis fissa,20.277777781,2.145315503534939
Copepodo ciclopodo sp1.,18.333333337000003,1.9396003183441752
Testudinella patina,12.66666667,1.3400874927587945
Lecane closterocerca,10.794871794999999,1.142058369047946
Daphnia sp. ,10.0,1.057963809794321
Lecane leontina,9.333333333,0.9874328891061008
Bedelloideos ,8.666666667,0.9169019685236769
Keratella tropica,6.997230930000001,0.740281709271346
Chydorido sp1. (grande) ,6.666666667,0.7053092065648128
Ascomorph sp2.,5.833333333,0.6171455556780884
Mytilina ventralis ,5.333333333,0.5642473651883724
Euchlanis dilatata,5.333333333,0.5642473651883724
Mytilina ventralis,5.0,0.5289819048971605
Brachionus angularis ,4.835632184,0.5115923848148672
Cephalodella sp1.,4.166666667,0.4408182541162326
Lecane luna ,4.0,0.42318552391772835
Hexarthra sp. ,3.333333333,0.3526546032295082
Moina cf. micrura ,3.333333333,0.3526546032295082
Ascomorpha sp1.,3.333333333,0.3526546032295082
Brachionus bidentata,2.666666667,0.2821236826470844
Hexarthra sp. 1 ,2.0,0.21159276195886417
Lecane furcata,2.0,0.21159276195886417
Platyas quiadricornis ,2.0,0.21159276195886417
Trchicerca cf. elongata,2.0,0.21159276195886417
Lecane bulla ,1.880725022,0.19897390094506281
Ascomorpha sp. ,1.333333333,0.141061841270644
Epiphanes macriura,1.333333333,0.141061841270644
Keratella sp. ,1.333333333,0.141061841270644
Copepodo cyclopidos sp 1. ,1.333333333,0.141061841270644
Bdelloideo ,1.111111111,0.11755153440983607
Pompholix triloba ,1.016799293,0.1075736853818452
Lecane halyclista ,0.91954023,0.09728402849899462
Alona sp. ,0.666666667,0.07053092068822019
Lecane lunaris,0.666666667,0.07053092068822019
Anuraeopsis fissa ,0.666666667,0.07053092068822019
Lecane cf. dicipiens,0.666666667,0.07053092068822019
Chydorido sp 1 ,0.666666667,0.07053092068822019
Lecane elsa ,0.666666667,0.07053092068822019
Lepadella patella ,0.618861024,0.06547325666842546
Plationus patulus,0.566666667,0.05995128259027699
Lecane lunaris ,0.533333333,0.056424736487098316
Trichocerca sp. ,0.396551724,0.041953737270354605
Mytilina acanthophora ,0.229885057,0.024321007071850465
Chydorido sp1. (con placas) ,0.227272727,0.024044632011926467
Moina sp2,0.204545455,0.021640168884791283
Alona cf. grabla  ,0.204545455,0.021640168884791283
Brachionus calyciflorus,0.166666667,0.017632730198504143
Lecane furcata ,0.133333333,0.014106184095325486
Brachionus  leydigi,0.133333333,0.014106184095325486
Lepadella sp1.,0.128205128,0.013563638565404858
Asplachna sp. ,0.083333333,0.00881636504635388
Lecane luna,0.083333333,0.00881636504635388
Bdelloideos ,0.066666667,0.007053092100560933
Brachionus caudatus ,0.066666667,0.007053092100560933
Moina sp1,0.066666667,0.007053092100560933
nauplios ,0.045454545,0.00480892636006674
Lecana hamata,0.033333333,0.0035265459973822764
Lepadella sp. ,0.033333333,0.0035265459973822764
Copepodo Cyclopoideo sp 1,0.022727273,0.0024044632329315607
