Especie,Abundancia_total,Porcentaje_dominancia
Pompholix triloba ,24375.28985474,42.932819683684976
Keratella tropica,11931.811593900002,21.01580406687946
Keratella tropica ,4891.11111074,8.614838741268722
Nauplio,4426.666667,7.796800897410988
Keratella coclearis  ,4396.666667,7.743961132296971
Brachionus havanaensis ,2803.333333697,4.937582496294814
Copepodo calanoideo,654.4444444110001,1.1526896907616921
Keratella quadrata ,613.3333333,1.0802796422723087
Copepoditos ,488.88888892,0.8610924685795224
Trichocerca sp. ,333.3333334,0.5871085013842801
Brachionus caudatus ,286.666666693,0.5049133111358798
Polyarthra sp.,280.0,0.49317114106416104
Brachionus angularis ,196.666666633,0.3463940156881485
Trichocerca grandis ,180.00000003000002,0.3170385907369433
Brachionus calyciflorum ,130.000000003,0.22897231549935873
Brachionus quadridentatus ,86.66666666,0.152648210317641
Moina cf. micrura ,83.333333333,0.1467771253161275
Brachionus clalyciflorus,70.000000003,0.12329278527132423
Phompholix triloba ,60.0,0.1056795302280345
Brachionus calyciflorus,53.33333332,0.093937360179213
Mytilina sp.,50.0,0.08806627519002876
Brachionus angularis,47.777777778,0.08415221851530777
Nauplios,46.666666667,0.08219519017794728
Lecane bulla ,40.0,0.07045302015202301
Copepodo ciclopodo sp1.,37.777777777,0.06653896347554068
Cladocero sp1. (gazano),33.33333333,0.05871085012081475
Copepodo Cyclopoideo sp 1,27.028985501,0.04760684150476727
Gastropus sp. ,20.0,0.035226510076011505
Bedelloideos,19.999999997,0.035226510070727524
Lecane luna ,13.33333333,0.02348434004480325
Keratella sp. ,13.33333333,0.02348434004480325
Copepodo  ciclopodo sp2.,12.22222222,0.021527311709204085
Brachionus plicatilis ,10.0,0.017613255038005753
Moina  sp. 1 (grande),10.0,0.017613255038005753
Epiphane macroura ,10.0,0.017613255038005753
Brachinus quadridentatus ,7.777777778000001,0.01369919836328477
Macrothrix sp2.,7.777777778000001,0.01369919836328477
Lecane bulla,6.666666667,0.011742170025924276
Brachionus urceolaris ,6.666666667,0.011742170025924276
Brachionus dimidiatus ,3.333333333,0.005871085012081475
Lepadella sp1.,3.333333333,0.005871085012081475
Mytilina ventralis ,3.333333333,0.005871085012081475
Plationus patulus ,3.333333333,0.005871085012081475
Copepodo Calanoideo sp.,0.144927536,0.000255264565359776
Copepodito ,0.036231884,6.3816141339944e-05
