Especie,Abundancia_total,Porcentaje_dominancia
Nauplios,403.33333333999997,8.705035971523468
Copepoditos ,250.0,5.395683453334453
Copepodo calanoideo,240.0,5.179856115201075
Plationus patulus,220.0,4.748201438934318
Lecane luna,203.33333334,4.388489208855907
Chydorido sp 1 ,196.66666663,4.244604315831737
Cydorido sp 2. (Chiquito) ,190.0,4.1007194245341845
Bdelloideo ,186.66666666,4.0287769783458405
Lecane luna ,149.99999996,3.2374100711373623
Bdelloideos ,113.33333333,2.4460431654396766
Copepdodo Ciclopoideo sp1.,110.000000007,2.374100719618238
Chydorido sp. 1,110.0,2.374100719467159
Copepodo cyclopidos sp 1. ,106.66666667,2.3021582734946424
Bedelloideos ,103.333333337,2.230215827457377
Platyas quadricornis,98.33333334,2.1223021584554367
Mytilina cf. bisulcata ,88.333333333,1.9064748201709791
Keratella lenzi ,86.666666663,1.8705035970768071
Lecane bulla,86.66666666,1.870503597012059
Macrothrix sp2.,75.000000003,1.618705036065084
Lecane closterocerca,73.33333333,1.5827338129061639
Nauplio,71.66666667300001,1.5467625900925672
Chydorido sp4.,66.66666667,1.4388489209611297
Copepodo ciclopodo sp1.,61.66666667,1.3309352518944408
Harpacticoideo sp. ,60.0,1.2949640288002688
Testudinella patina,53.333333327000005,1.1510791365746593
Lecane curvicornis,51.66666667,1.1151079137610627
Lepadella sp1.,50.0,1.0791366906668907
Colurella sp. ,48.333333329000006,1.043165467551136
Harpacticoideo  sp. ,46.666666663,1.0071942445432946
Chydorido sp. 2,43.333333333,0.9352517985707776
Euchlanis meneta ,43.33333333,0.9352517985060295
Poliarthra sp. ,40.000000003,0.8633093525982606
Chydorido sp2. (plano),40.0,0.8633093525335124
Plationus macracontus ,36.666666663,0.7913669064099165
Manfredium eudactilota,33.333333337,0.7194244605237303
Macrotrhix sp1. (con valva) ,33.33333333,0.7194244603726513
Platyonus patulus ,33.33333333,0.7194244603726513
nauplios ,30.000000003,0.6474820144648826
Lepadella sp. ,30.0,0.6474820144001344
Diaphanosoma sp. ,30.0,0.6474820144001344
Chydorido sp3.(triangulo),26.66666667,0.5755395684276174
Moina cf. micrura ,26.666666663,0.5755395682765383
Cephalodella bicristata,23.333333337000003,0.5035971223903524
Mytilina ventralis  ,23.33333333,0.5035971222392731
Moina sp. ,23.33333333,0.5035971222392731
Dipleuchlanis propatella ,20.000000003,0.4316546763315044
Copepodito ,20.000000003,0.4316546763315044
Copepodo Calanoideo,20.0,0.4316546762667562
Platyas quiadricornis ,20.0,0.4316546762667562
Ascomorpha sp.,19.999999997,0.431654676202008
Brachionus havanaensis ,19.999999996,0.43165467618042525
Ceriodaphnia sp. ,18.333333337,0.3956834533236632
Copepodo Calanoideo sp.,18.333333333,0.3956834532373323
Alona sp1.,16.66666667,0.3597122302942393
Lecane leontina,16.666666667,0.3597122302294911
Lecane lunaris ,16.666666663,0.35971223014316017
Euchlanis meneta,16.666666663,0.35971223014316017
Chydorido sp 2  (grande) ,15.0,0.3237410072000672
Lecane bulla ,15.0,0.3237410072000672
Lecane ludwigi ,15.0,0.3237410072000672
Lecane quadridentata ,13.333333333,0.28776978417064325
Filinia sp.,13.33333333,0.28776978410589504
Lepadella cf. ovalis,13.33333333,0.28776978410589504
Ephiphanes clavulata ,10.0,0.2158273381333781
Cephalodella sp. ,10.0,0.2158273381333781
Lecane quadridentata,10.0,0.2158273381333781
Lecane halyclista ,10.0,0.2158273381333781
Poliarthra sp.1,10.0,0.2158273381333781
Mytilina ventralis,10.0,0.2158273381333781
Plationus patulus ,6.666666667,0.143884892096113
Chydorus nitidulus ,6.666666667,0.143884892096113
Alona sp. ,6.666666667,0.143884892096113
Keratella tropica ,6.666666667,0.143884892096113
Trichocerca cf. bicrsitata ,6.666666667,0.143884892096113
Horaella cf. biemi ,6.666666667,0.143884892096113
Macrothrix sp.  ,6.666666667,0.143884892096113
Mytilina ventralis ,6.666666667,0.143884892096113
Harpacticoideos,6.666666666,0.14388489207453026
Hexarthra sp. ,6.666666666,0.14388489207453026
Platya quadricornis ,6.666666666,0.14388489207453026
Epiphanes macraura ,6.666666666,0.14388489207453026
Bedelloideos,5.0,0.10791366906668905
Brachionus plicatilis ,3.333333333,0.07194244603726513
Brachionus angularis ,3.333333333,0.07194244603726513
Ascomorpha sp. ,3.333333333,0.07194244603726513
Lecane papuana ,3.333333333,0.07194244603726513
Dafnia sp. 1,3.333333333,0.07194244603726513
Cephalodella sp1.,3.333333333,0.07194244603726513
Chydorido sp1. (con placas) ,3.333333333,0.07194244603726513
Brachionus dimidiatus,3.333333333,0.07194244603726513
Daphnia sp. ,3.333333333,0.07194244603726513
Harpacticoideos ,3.333333333,0.07194244603726513
Horaella sp ,3.333333333,0.07194244603726513
Lecane scutata,3.333333333,0.07194244603726513
Lecane leontina ,3.333333333,0.07194244603726513
Lecane hamata,3.333333333,0.07194244603726513
Lepadella cf. ovalis ,3.333333333,0.07194244603726513
Plationus macrocantus ,3.333333333,0.07194244603726513
Lepadella ovalis,3.333333333,0.07194244603726513
Trichocerca bicristata,3.333333333,0.07194244603726513
Brachionus budapestinensis ,1.666666667,0.03597122302942393
