Especie,Abundancia_total,Porcentaje_dominancia
Copepodo Calanoideo sp.,233.888888856,17.778090577823956
Bedelloideos,109.999999967,8.361192241919497
Ascomorpha ecaudis ,105.55555555,8.023366294735759
Brachionus angularis,90.000000003,6.8409754729417305
Copepoditos ,78.33333333499999,5.954182356007125
Moina sp. 2 ,67.68518518500001,5.144807685740774
Nauplios,65.37037037200001,4.968856670634026
Lecane bulla,52.222222221,3.9694549038273923
Moina sp1,47.500000004,3.610514833125162
nauplios ,42.777777781,3.2515747619668667
Copepodo  ciclopodo sp2.,42.22222222,3.2093465178943035
Keratella tropica,37.638888886000004,2.860963507659136
Mytilina ventralis  ,33.888888886000004,2.575922862962732
Copepodito ,32.361111114,2.4597951933404074
Copepodo ciclopodo sp1.,22.22222222,1.6891297461801482
Mytilina ventralis ,21.666666666,1.6469015026396612
Pompholix triloba ,21.527777782,1.6363444420965878
Nauplio,17.777777778,1.3513037970961406
Copepodo calanoideo,16.666666669999998,1.2668473100151654
Copepdodo Ciclopoideo sp1.,15.648148151,1.1894288632709022
Lepadella patella ,11.944444444,0.9079072386288378
Lecane lunaris,11.666666667,0.8867931168585941
Lecane leontina,11.11111111,0.8445648730900741
Brachionus urceolaris ,11.11111111,0.8445648730900741
Chydorido sp4.,10.0,0.7601083858570776
Keratella quadrata ,10.0,0.7601083858570776
Trichocerca grandis ,10.0,0.7601083858570776
Keratella tropica ,9.074074074,0.6897279797535696
Brachionus quadridentatus ,5.648148148000001,0.4293204771857923
Brachionus plicatilis ,5.555555556,0.422282436621048
Brachionus pterodinoides,5.555555556,0.422282436621048
Lepadella cf. patella ,5.462962963000001,0.41524439598029284
Brachionus angularis ,3.888888889,0.29559770561953136
Lecane bulla ,3.796296297,0.2885596650547871
Platyas quadricornis,3.333333333,0.25336946192702225
Epiphane macroura ,3.333333333,0.25336946192702225
Dafnia sp. 1,3.333333333,0.25336946192702225
Plationus patulus,3.333333333,0.25336946192702225
Lecane hamata,3.333333333,0.25336946192702225
Copepodo Calanoideo,2.962962963,0.2252172995160234
Moina  sp. 1,2.592592593,0.19706513710502455
Trichocerca sp ,2.407407407,0.18298905582351427
Brachionus clalyciflorus,2.222222222,0.16891297461801486
Bdelloideo ,1.851851852,0.14076081220701597
Lepadella sp. ,1.805555556,0.13724179192464384
Polyathra sp.2 ,1.666666667,0.12668473100151656
Platyas quiadricornis ,1.666666667,0.12668473100151656
Colurella sp. ,1.666666667,0.12668473100151656
Mytilina cf. bisulcata,1.388888889,0.105570609155262
Moina sp. ,1.111111111,0.08445648730900743
Cephalodella sp. ,1.018518518,0.07741844666825229
Brachionus havanaensis ,0.833333333,0.06334236546275285
Brachionus budapestinensis ,0.833333333,0.06334236546275285
Lecane strichaea,0.6944444449999999,0.0527853046156364
Bedelloideos ,0.555555556,0.042228243692509125
Alona cf. glabra,0.555555556,0.042228243692509125
Keratella sp. ,0.555555556,0.042228243692509125
Filinia sp.,0.555555556,0.042228243692509125
Lecane ludwigi,0.555555556,0.042228243692509125
Lecane cornuta ,0.555555556,0.042228243692509125
Lecane luna ,0.555555556,0.042228243692509125
Lecana hamata,0.277777778,0.021114121846254563
Lecane luna,0.138888889,0.010557060923127281
Trichocerca sp. ,0.138888889,0.010557060923127281
