Especie,Abundancia_total,Porcentaje_dominancia
nauplios ,260.0,14.252323997310908
Copepodo Cyclopoideo sp 1,244.444444411,13.399620850339339
Lepadella cf. ovalis,160.0,8.770660921422097
Copepodito ,153.333333303,8.405216714700073
Nauplios,120.430555548,6.601597295562481
Tricocerca sp,96.666666666,5.298940973322639
Keratella tropica,75.138888894,4.118860728135517
Nauplio,66.111111107,3.6239883666122457
Pompholix triloba ,57.91666667,3.174796531634992
Lecane bulla ,53.333333337,2.923553640675027
Ascomorpha sp1.,50.55555555,2.7712852213948067
Brachinus quadridentatus ,50.0,2.7408315379444055
Copepoditos ,42.69444444,2.3403655963233434
Epiphane macroura ,36.66666667,2.0099431280086195
Keratella sp.,31.111111114000003,1.7054062904348786
Brachionus clalyciflorus,31.111111114000003,1.7054062904348786
Brachionus angularis,28.888888884,1.5835915549887751
Copepdodo Ciclopoideo sp1.,24.555555556,1.3460528219926156
Filinia sp. 1,21.666666667,1.187693666460848
Moina sp1,20.0,1.0963326151777621
Platya cuadricornis,18.88888889,1.035425247728794
Copepodo ciclopodo sp1.,15.0,0.8222494613833218
Filinia sp 2. ,14.444444441,0.7917957774395711
Bdelloideos ,13.333333333,0.730888410100236
Lepadella patella ,11.11111111,0.6090736750378494
Polyhartra sp. ,10.0,0.5481663075888811
Poliarthra sp. ,9.888888889,0.5420755708439844
Lecane bulla,9.722222222,0.5329394656992307
Brachionus caudatus,9.444444444,0.5177126238095803
Bedelloideos ,8.194444444,0.44919183536097024
Mytilina ventralis  ,6.666666667,0.36544420507752634
Bdelloideo ,6.666666667,0.36544420507752634
Brachionus havanaensis,6.666666667,0.36544420507752634
Macrochaetus sericus,6.1111111110000005,0.33499052129822554
Lecane luna ,4.722222222,0.25885631190479014
Brachonus mirus,4.444444444,0.24362947001513977
Trichocerca sp ,3.333333333,0.18272210251135484
Brachionus havanaensis ,3.305555556,0.1811994183662431
Platyonus patulus ,3.111111111,0.17054062902156117
Lecane lunaris ,3.111111111,0.17054062902156117
Lecane lunaris,2.708333333,0.14846170828704977
Mytilina sp.,2.5,0.13704157689722027
Keratella tropica ,2.333333334,0.12790547180728334
Polyarthra sp.,2.222222222,0.12181473500756988
Lepadella sp1.,1.666666667,0.09136105128308573
Polyathra sp.2 ,1.388888889,0.07613420939343533
Filinia sp.,1.25,0.06852078844861013
Chydorido sp 1 ,1.25,0.06852078844861013
Lecane leontina,1.1805555559999998,0.06471407800360585
Copepodo  ciclopodo sp2.,1.111111111,0.06090736750378494
Brachionus calyciflorus,1.111111111,0.06090736750378494
Trichocerca sp. ,1.111111111,0.06090736750378494
Lepadella sp.,1.111111111,0.06090736750378494
Lecan elsa ,1.111111111,0.06090736750378494
Ascomorpha sp. ,0.833333333,0.04568052561413455
Keratella quadrata ,0.833333333,0.04568052561413455
Copepodo cyclopidos sp 1. ,0.833333333,0.04568052561413455
Ascomorpha sp.,0.666666667,0.03654442052419762
Mytilina ventralis ,0.625,0.03426039422430507
Trichocerca grandis ,0.625,0.03426039422430507
Brachionus plicatilis ,0.555555556,0.030453683779300782
Brachoinus bidentata,0.555555556,0.030453683779300782
Brachionus angularis ,0.416666667,0.02284026283447559
Lecane obtusa,0.416666667,0.02284026283447559
Mytilina bisulcata ,0.416666667,0.02284026283447559
Lecane ludwigi,0.416666667,0.02284026283447559
Lecane cf. dicipiens,0.416666667,0.02284026283447559
Lepadella rhomboides,0.277777778,0.015226841889650391
Lecane pyriformis,0.277777778,0.015226841889650391
Cephalodella sp. ,0.208333333,0.011420131389829481
Brachionus caudatus ,0.208333333,0.011420131389829481
Moina sp. ,0.208333333,0.011420131389829481
Lepadella ovalis,0.208333333,0.011420131389829481
Testudinella patina,0.208333333,0.011420131389829481
Scaridium longicaudum,0.208333333,0.011420131389829481
