Especie,Abundancia_total,Porcentaje_dominancia
Lecane luna,736.6666667,17.28193933142861
Nauplios,625.55555559,14.675311981432563
Lecane bulla,556.666666667,13.059203023618615
Poliarthra sp.1,309.99999997,7.272490305857911
Keratella tropica,281.66666663,6.607800331445874
Keratella quadrata ,273.333333367,6.412303281844212
Lecane bulla ,240.000000036,5.630315076892315
Polyathra sp.2 ,180.0,4.2227363070358255
Keratella tropica ,118.333333333,2.7760581277657326
Brachionus angularis,107.77777778,2.528428529573584
Nauplio,98.888888883,2.3198983413815313
Mytilina ventralis  ,73.333333333,1.7203740510067758
Keratella sp.,58.33333333,1.3684793586834114
Polyarthra sp.,56.666666663,1.3293799484252597
Hexarthra sp. 1 ,53.33333333,1.2511811279324163
Copepoditos ,52.777777773,1.2381479911484194
Brachionus clalyciflorus,35.555555549000005,0.8341207518532858
Trichocerca grandis ,31.666666667,0.7428887947641226
Copepodo ciclopodo sp1.,31.666666663,0.742888794670284
nauplios ,29.999999996,0.7037893844121323
Poliarthra sp. ,28.472222227,0.6679482585552519
Trichocerca sp.,26.666666667,0.6255905640131274
Diaphanosoma birgei,26.66666666,0.6255905638489099
Tricocerca sp,26.111111108,0.6125574271822114
Pompholix triloba ,20.416666665999998,0.47896777555092374
Mytilina sp.,20.0,0.4691929230039807
Brachionus havanaensis ,18.333333333000002,0.4300935127458291
Mytilina ventralis ,16.666666667,0.39099410251113714
Ascomorpha sp.,13.33333333,0.31279528192445494
Synchaeta cf. oblonga ,10.83333333,0.2541461665489574
Copepodito ,10.0,0.23459646150199034
Lecane leontina,10.0,0.23459646150199034
Moina sp1,8.333333333,0.19549705124383876
Lepadella patella ,6.666666667,0.1563976410091468
Hexarthra sp.,6.666666667,0.1563976410091468
Copepdodo Ciclopoideo sp1.,6.666666667,0.1563976410091468
Bedelloideos ,6.666666667,0.1563976410091468
Bdelloideo ,6.388888889,0.14988107262887823
Trichocerca cf. grandis ,5.0,0.11729823075099517
Testudinella patina ,4.166666666,0.09774852561018955
Brachionus caudatus ,3.333333333,0.07819882049284356
Colurella sp. ,3.333333333,0.07819882049284356
Alona sp. ,3.333333333,0.07819882049284356
Synchaeta sp. ,3.333333333,0.07819882049284356
Squatinella sp. ,2.222222222,0.05213254699522904
Moina sp. 2 ,2.083333333,0.04887426280509478
Ascomorpha sp1.,1.666666667,0.039099410258151605
Lepadella cf. ovalis ,1.666666667,0.039099410258151605
Cephalodella sp1.,1.666666667,0.039099410258151605
Chydorido sp1. (con placas) ,1.666666667,0.039099410258151605
Keratella lenzi ,1.666666667,0.039099410258151605
Chydorido sp. 1,1.111111111,0.02606627349761452
Filinia sp. 1,1.111111111,0.02606627349761452
Brachoinus bidentata,0.833333333,0.01954970511734598
Keratella coclearis  ,0.833333333,0.01954970511734598
Trichocerca sp ,0.833333333,0.01954970511734598
Lepadella cf. patella ,0.833333333,0.01954970511734598
Cephalodella sp. ,0.416666667,0.009774852570402812
Mytilina ventralis,0.416666667,0.009774852570402812
