Laguna,Sector,Estacion,N,S,H,E
Crespo,C,Invierno,1.1304347829999999,5.0,1.1026381775732166,0.6851076199053842
Crespo,C,Otoño,138.33333333899998,10.0,1.7252883678270068,0.7492832178391368
Crespo,C,Primavera,380.00000003599996,6.0,0.8546864582532128,0.47700959472056703
Crespo,C,Verano,363.33333334300005,11.0,1.3028738042198416,0.5433405782978058
Crespo,L1,Invierno,2.0888888879999996,5.0,0.9212374409343217,0.572397005076791
Crespo,L1,Otoño,183.333333367,8.0,1.1136776757952707,0.5355657533395279
Crespo,L1,Primavera,123.333333329,15.0,2.2961383020353123,0.8478935512719652
Crespo,L1,Verano,123.333333331,12.0,1.6471807958001512,0.6628743159992269
Crespo,L2,Invierno,6.19047619,5.0,0.7602356527304518,0.47236096953915907
Crespo,L2,Otoño,105.555555562,10.0,1.5747599074112475,0.6839095381111805
Crespo,L2,Primavera,148.333333336,10.0,1.9443602599335774,0.844424931721125
Crespo,L2,Verano,154.44444445099998,7.0,1.3825274244070371,0.7104785516834972
Espinillo,C,Invierno,3.3666666669999996,14.0,2.2146799415125518,0.8391935698628512
Espinillo,C,Otoño,12.435897435,6.0,1.0930710188131658,0.6100545511748262
Espinillo,C,Primavera,163.333333345,15.0,2.25253229457579,0.8317911882353515
Espinillo,C,Verano,60.666666664000005,11.0,1.3649944155081268,0.5692468853800955
Espinillo,L1,Invierno,5.689655172,9.0,1.8024043779852372,0.820309583543054
Espinillo,L1,Otoño,1.6666666659999998,5.0,1.0944086294616122,0.6799943141680053
Espinillo,L1,Primavera,370.000000016,17.0,2.368175218807319,0.8358619458628139
Espinillo,L1,Verano,61.999999999,18.0,2.541035939144885,0.8791381012504934
Espinillo,L2,Invierno,1.386363637,9.0,1.949797097491842,0.8873909010501132
Espinillo,L2,Otoño,113.33333333499999,6.0,1.2169616812586097,0.679199246416102
Espinillo,L2,Primavera,83.33333333,10.0,1.7881090393389385,0.7765658888262256
Espinillo,L2,Verano,68.000000004,6.0,1.2169616813205495,0.6791992464506712
Gazano,C,Invierno,84.31159420099999,5.0,0.732796893255116,0.4553123097161544
Gazano,C,Otoño,6613.333333359999,5.0,0.8050981809867914,0.5002356255974906
Gazano,C,Primavera,5433.333333658,13.0,0.6681348246215896,0.2604865560709647
Gazano,C,Verano,3063.333333727,8.0,1.2858087107320086,0.6183432835016336
Gazano,L1,Invierno,22613.333333029997,4.0,0.6138278473489678,0.4427831956649517
