Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
Gazano,L1,9.41,10.3,8.1,432,0.35,0.3,7.51,6,54,1.928,0.015,08:10,08/08/2024
Gazano,C,9.18,11.1,8.3,460,0.28,0.28,7.51,6,54,1.928,0.015,08:25,08/08/2024
Gazano,L2,9.19,11.3,8.6,460,0.36,0.3,7.51,6,54,1.928,0.015,08:40,08/08/2024
Espinillo,L1,8.5,16,9.5,1380,0.63,0.63,7.6,5,38,1.586,0.015,12:30,15/08/2024
Espinillo,C,8.46,16.4,9.8,1450,0.78,0.78,7.6,5,38,1.586,0.015,12:50,15/08/2024
Espinillo,L2,8.41,18.5,9.5,1445,0.57,0.57,7.6,5,38,1.586,0.015,13:15,15/08/2024
Viale,L1,8.3,12.3,6.7,123,0.83,0.2,7.45,5,32,4.697,0.015,10:00,08/08/2024
Viale,C,8.2,11.9,7,125,0.75,0.2,7.45,5,32,4.697,0.015,10:20,08/08/2024
Viale,L2,8.18,12,7.8,124,0.5,0.16,7.45,5,32,4.697,0.015,10:37,08/08/2024
Termas,L1,9.32,13,9.6,374,0.69,0.69,7.8,5,27,0.684,0.015,14:10,10/08/2024
Termas,C,9.65,13.7,10.2,389,0.68,0.68,7.8,5,27,0.684,0.015,14:27,10/08/2024
Termas,L2,9.77,17.7,11.5,667,0.58,0.5,7.8,5,27,0.684,0.015,14:40,10/08/2024
Inta,L1,9.49,13.9,9.2,783,0.58,0.2,7.5,0,30,1.1,0.015,10:15,16/08/2024
Inta,C,9.49,13.8,9.2,783,0.8,0.2,7.5,0,30,1.1,0.015,10:29,16/08/2024
Inta,L2,9.51,13.7,10.5,787,0.64,0.64,7.5,0,30,1.1,0.015,10:45,16/08/2024
Hernandez,L1,7.4,10.7,3.5,260,0.45,0.1,6.4,7,134,3.701,0.015,10:05,15/08/2024
Hernandez,C,7.5,12.8,11.4,189,0.75,0.1,6.4,7,134,3.701,0.015,10:15,15/08/2024
Hernandez,L2,7.5,12.8,3.5,190,0.3,0.1,6.4,7,134,3.701,0.015,10:30,15/08/2024
Crespo,L1,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,0.015,09:30,15/08/2024
Crespo,C,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,0.015,09:35,15/08/2024
Crespo,L2,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,0.015,09:45,15/08/2024
