Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
Gazano,L1,9.29,12.1,4.2,414,0.37,0.27,7.51,0,40,2.4,0,09:30,04/06/2024
Gazano,C,9.02,12.3,4,450,0.32,0.26,7.51,0,40,2.4,0,09:40,04/06/2024
Gazano,L2,9.36,12.3,4,426,0.45,0.3,7.51,0,40,2.4,0,10:00,04/06/2024
Espinillo,L1,8.51,14,4.3,1367,0.61,0.61,7.6,3,37,0.25,0,13:19,05/06/2024
Espinillo,C,8.59,14.6,3.2,1346,0.81,0.81,7.6,3,37,0.25,0,13:33,05/06/2024
Espinillo,L2,8.7,16.1,2.8,1360,0.73,0.73,7.6,3,37,0.25,0,13:44,05/06/2024
Viale,L1,7.98,16,1.6,112,0.67,0.2,7.45,0,29,2.7,0,15:00,04/06/2024
Viale,C,7.8,16,1.6,113,1.1,0.2,7.45,0,29,2.7,0,15:10,04/06/2024
Viale,L2,7.92,15.4,2.2,115,0.73,0.18,7.45,0,29,2.7,0,15:18,04/06/2024
Termas,L1,9.47,16,3,178,0.69,0.69,7.8,0,29,1.1,0,16:20,04/06/2024
Termas,C,9.83,16,3.1,211,0.68,0.68,7.8,0,29,1.1,0,16:27,04/06/2024
Termas,L2,9.71,15.8,3.3,218,0.58,0.5,7.8,0,29,1.1,0,16:35,04/06/2024
Inta,L1,8.59,14.7,4.7,525,0.45,0.45,8.2,0,47,1.1,0,14:40,05/06/2024
Inta,C,8.45,13.3,3.5,535,1.3,1.1,8.2,0,47,1.1,0,14:55,05/06/2024
Inta,L2,8.5,14,3.5,535,0.3,0.15,8.2,0,47,1.1,0,15:18,05/06/2024
Hernandez,L1,7.27,11.5,2.1,133,0.41,0.15,6.4,0,52,1.3,0,12:20,05/06/2024
Hernandez,C,7.05,10.1,1.7,135,0.8,0.4,6.4,0,52,1.3,0,12:35,05/06/2024
Hernandez,L2,7.02,9.9,1.5,135,0.36,0.16,6.4,0,52,1.3,0,12:55,05/06/2024
Crespo,L1,9.3,12,2.9,1552,0.45,0.45,8.91,9,23,0.25,0,11:04,05/06/2024
Crespo,C,9.33,11.8,4.3,1553,0.15,0.15,8.91,9,23,0.25,0,11:14,05/06/2024
Crespo,L2,9.35,12.1,3.7,1552,0.18,0.18,8.91,9,23,0.25,0,11:20,05/06/2024
