Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
Gazano,L1,9.63,23,3.6,277,0.32,0.18,11.23,19,65,4.2,0,11:15,22/03/2024
Gazano,C,9.53,23.4,4.8,231,0.28,0.18,11.23,19,65,4.2,0,11:25,22/03/2024
Gazano,L2,9.73,23.5,4.4,278,0.25,0.18,11.23,19,65,4.2,0,11:42,22/03/2024
Espinillo,L1,9.12,26.5,1.9,1528,0.6,0.3,11.33,0,45,1.4,0,08:10,12/03/2024
Espinillo,C,8.97,26.1,1.6,1470,0.8,0.8,11.33,0,45,1.4,0,08:00,12/03/2024
Espinillo,L2,8.5,25.4,0.41,1436,0.41,0.41,11.33,0,45,1.4,0,07:40,12/03/2024
Viale,L1,7.52,26,4.1,950,0.55,0.3,10.36,0,39,1.3,0.009,09:40,12/03/2024
Viale,C,7.82,26.3,5.2,950,1.05,0.3,10.36,0,39,1.3,0.009,09:55,12/03/2024
Viale,L2,7.6,26.6,6.6,950,0.6,0.3,10.36,0,39,1.3,0.009,10:05,12/03/2024
Termas,L1,8.36,27.1,5.2,177,0.52,0.52,10.82,0,27,0.25,0,11:20,12/03/2024
Termas,C,8.72,27.2,6.2,171,0.72,0.72,10.82,0,27,0.25,0,11:30,12/03/2024
Termas,L2,7.74,27.4,4.8,189,0.25,0.25,10.82,0,27,0.25,0,11:45,12/03/2024
Inta,L1,8.8,22.3,3.3,395,0.4,0.4,11.83,0,73,1.7,0,09:52,22/03/2024
Inta,C,8.9,22.2,3.8,395,0.8,0.8,11.83,0,73,1.7,0,10:03,22/03/2024
Inta,L2,9.04,22,4.3,413,0.4,0.4,11.83,0,73,1.7,0,10:15,22/03/2024
Hernandez,L1,9.45,24.7,0.6,133,0.65,0.3,9.73,0,64,1.8,0.0072,11:10,26/03/2024
Hernandez,C,6.98,23.6,1.4,137,0.95,0.4,9.73,0,64,1.8,0.0072,11:20,26/03/2024
Hernandez,L2,6.8,23.6,1.2,144,0.9,0.4,9.73,0,64,1.8,0.0072,11:35,26/03/2024
Crespo,L1,9.46,24.1,0.2,1175,0.2,0.2,12.34,0,20,0.25,0.023,09:30,26/03/2024
Crespo,C,9.44,23.1,0.4,1213,0.2,0.2,12.34,0,20,0.25,0.023,09:40,26/03/2024
Crespo,L2,9.45,23.2,1.2,1210,0.25,0.25,12.34,0,20,0.25,0.023,09:48,26/03/2024
