Column1,Termas L1,Termas C,Termas L2,Viale L1,Viale C,Viale L2,Inta L1,Inta C,Inta L2,Gazano L1,Gazano C,Gazano L2,Crespo L1,Crespo C,Crespo L2,Hernandez L1,Hernandez C,Hernandez L2,Espinillo L1,Espinillo C,Espinillo L2,Rotiferos,Copepodos,Cladoceros
Anuraeopsis fissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,1,0,0
Ascomorpha sp.,0,0.666666667,0,13.33333333,0,0,0,0,0,0,0,0,0,0,0,13.33333333,0,6.666666667,0,0,0,1,0,0
Asplachna sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,1,0,0
Brachionus angularis ,0,0,0,0,0,0,0,0,0,0,0,193.3333333,0,3.333333333,3.333333333,0,0,0,0,0,0,1,0,0
Brachionus budapestinensis ,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brachionus calyciflorus,1.111111111,0,0,0,0,0,0,0,0,13.33333333,13.33333333,13.33333333,0,0,0,0,0,0,0.166666667,0,0,1,0,0
Brachionus caudatus ,0,0,0,0,0,0,0,0,0,90,106.6666667,33.33333333,0,3.333333333,0,0,0,0,0,0,0,1,0,0
Brachionus dimidiatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,1,0,0
Brachionus havanaensis ,0.555555556,0,0.666666667,0,0.833333333,0.833333333,0.833333333,0,0,6.666666667,33.33333333,0,1.666666667,0,0,0,0,0,0,0,0,1,0,0
Brachionus quadridentatus ,0,0,0,0,0,0,0,0.925925926,1.388888889,0,0,0,0,0,1.111111111,0,0,0,1.083333333,5.897435897,42.22222222,1,0,0
Brachoinus bidentata,0.555555556,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cephalodella sp. ,0,0,0,0,0.416666667,0,0.833333333,0.185185185,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,1,0,0
Colurella sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,1,0,0
Dipleuchlanis propatella ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,3.333333333,0,0,0,1,0,0
Epiphanes macraura ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3.333333333,0,0,0,1,0,0
Euchlanis meneta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,13.33333333,0,0,0,1,0,0
Hexarthra sp. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,3.333333333,0,0,3.333333333,1,0,0
Horaella cf. biemi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,0,1,0,0
Keratella coclearis  ,0,0,0,0,0,0.833333333,0,0,0,476.6666667,3346.666667,573.3333333,0,3.333333333,0,0,0,0,0,0,0,1,0,0
Keratella tropica ,1.666666667,0.666666667,0,5.555555556,1.666666667,0,5.833333333,1.851851852,1.388888889,693.3333333,3113.333333,260,126.6666667,56.66666667,55.55555556,0,6.666666667,0,0,5.128205128,0,1,0,0
Lecan elsa ,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lecane bulla ,1.111111111,0,0,0,5.833333333,0.833333333,0,0.740740741,3.055555556,40,0,0,0,0,0,0,0,0,0,0.769230769,0,1,0,0
Lecane closterocerca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0.128205128,0,1,0,0
Lecane cornuta ,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
