Especie,Termas L1,Termas C,Termas L2,Viale L1,Viale C,Viale L2,Inta L1,Inta C,Inta L2,Gazano L1,Gazano C,Gazano L2,Crespo L1,Crespo C,Crespo L2,Hernandez L1,Hernandez C,Hernandez L2,Espinillo L1,Espinillo C,Espinillo L2,Rotiferos,Copepodos,Cladoceros
Anuraeopsis fissa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,1,0,0
Ascomorpha sp. ,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,1.333333333,0,0,1,0,0
Brachionus angularis ,0.416666667,0,0,0,0,0,0,0,0,0,0,3.333333333,44.44444444,44.44444444,37.77777778,0,0,3.333333333,4,0,0,1,0,0
Brachionus bidentata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,1,0,0
Brachionus calyciflorum ,0,0,0,0,0,0,0,0,0,36.66666667,90,3.333333333,4.444444444,1.111111111,17.77777778,0,0,0,0,0,0,1,0,0
Brachionus caudatus ,0,0,0.208333333,3.333333333,0,0,0,0,0,3.333333333,53.33333333,0,0,0,0,0,0,0,0,0,0,1,0,0
Brachionus havanaensis ,1.25,0,0.833333333,6.666666667,3.333333333,6.666666667,0,0,0,380,1776.666667,606.6666667,17.77777778,8.888888889,6.666666667,13.33333333,3.333333333,3.333333333,0,36,0,1,0,0
Brachionus plicatilis ,0,0.555555556,0,0,0,0,0,0,0,10,0,0,1.111111111,0,0,0,0,0,0,0,0,1,0,0
Brachionus quadridentatus ,0,0,0,0,0,0,0,1.111111111,2.222222222,0,43.33333333,43.33333333,1.111111111,0,3.333333333,0,0,0,0,0,0,1,0,0
Cephalodella sp. ,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,1,0,0
Cephalodella bicristata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,16.66666667,0,0,0,1,0,0
Colurella sp. ,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,3.333333333,3.333333333,0,0,0,1,0,0
Ephiphanes clavulata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0
Epiphanes macriura,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0,1.333333333,0,0,1,0,0
Euchlanis dilatata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333,0,0,1,0,0
Euchlanis meneta ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,3.333333333,0,0,0,1,0,0
Filinia sp.,1.25,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,13.33333333,0,0,0,1,0,0
Hexarthra sp.,0,0,0,0,0,0,0,0,0,0,0,0,8.888888889,73.33333333,0,0,0,0,0,0,0,1,0,0
Hexarthra sp. 1 ,0,0,0,43.33333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Horaella sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,1,0,0
Keratella quadrata ,0,0,0.833333333,6.666666667,0,266.6666667,0,3.333333333,6.666666667,10,500,103.3333333,0,0,0,0,0,0,0,0,0,1,0,0
Keratella sp. ,0,0,0,0,0,0,0.555555556,0,0,13.33333333,0,0,0,7.777777778,0,0,0,0,0,1.333333333,0,1,0,0
Keratella tropica,11.66666667,4.444444444,1.25,26.66666667,33.33333333,0,1.111111111,6.111111111,0,0,0,196.6666667,0,0,0,0,0,0,4,0,0,1,0,0
Lecane bulla,3.333333333,3.888888889,2.5,360,190,6.666666667,5,6.111111111,41.11111111,6.666666667,0,0,0,2.222222222,0,40,33.33333333,13.33333333,12,11.33333333,0,1,0,0
Lecane furcata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0.666666667,0,1,0,0
Lecane cf. dicipiens,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,1,0,0
Lecane closterocerca,0,0,0,0,0,0,0,0,0,0,0,0,1.111111111,1.111111111,0,33.33333333,6.666666667,30,0.666666667,0,0,1,0,0
Lecane elsa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1,0,0
Lecane hamata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,1,0,0
Lecane leontina,0,0.555555556,0.625,6.666666667,3.333333333,0,0,0,11.11111111,0,0,0,0,0,0,6.666666667,0,10,9.333333333,0,0,1,0,0
Lecane ludwigi,0.416666667,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lecane luna ,0.833333333,3.055555556,0.833333333,0,0,0,0,0.555555556,0,0,0,0,0,0,0,113.3333333,23.33333333,13.33333333,4,0,0,1,0,0
Lecane lunaris,1.666666667,0.833333333,0.208333333,0,0,0,2.777777778,0,8.888888889,0,0,0,0,0,0,0,0,0,0.666666667,0,0,1,0,0
Lecane obtusa,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lecane papuana ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,1,0,0
Lecane pyriformis,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lecane quadridentata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,10,0,0,25.33333333,1,0,0
Lepadella ovalis,0,0,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,1,0,0
Lepadella patella ,0,0,0,0,6.666666667,0,0,6.111111111,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lepadella rhomboides,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lepadella sp. ,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,2.222222222,6.666666667,3.333333333,0,0,0,0,1,0,0
Macrochaetus sericus,4.583333333,1.111111111,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Manfredium eudactilota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.66666667,0,6.666666667,0,0,0,1,0,0
Mytilina bisulcata ,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mytilina sp.,0,2.5,0,20,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mytilina ventralis ,0,0,0.625,10,6.666666667,0,6.666666667,3.888888889,11.11111111,3.333333333,0,0,0,0,0,6.666666667,0,0,0,5.333333333,0,1,0,0
Plationus macracontus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,3.333333333,0,0,0,1,0,0
Plationus patulus ,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,6.666666667,0,0,0,0,0,1,0,0
