Estacion,Laguna,Abundancia,Riqueza,Shannon_H,Equitatividad_J,Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
invierno,Termas L1,122.2222222,10,1.827098009,0.793498583,Termas,L1,9.32,13,9.6,374,0.69,0.69,7.8,5,27,0.684,<0.03,14:10,10/08/2024
invierno,Termas C,356.6666667,7,1.112085288,0.571498786,Termas,C,9.65,13.7,10.2,389,0.68,0.68,7.8,5,27,0.684,<0.03,14:27,10/08/2024
invierno,Termas L2 ,559.9999999,8,1.544235536,0.742620316,Termas,L2,9.77,17.7,11.5,667,0.58,0.5,7.8,5,27,0.684,<0.03,14:40,10/08/2024
invierno,Viale L1,1003.333333,8,0.992195784,0.477145313,Viale,L1,8.3,12.3,6.7,123,0.83,0.2,7.45,5,32,4.697,<0.03,10:00,08/08/2024
invierno,Viale C,163.3333333,7,1.153517367,0.592790663,Viale,C,8.2,11.9,7,125,0.75,0.2,7.45,5,32,4.697,<0.03,10:20,08/08/2024
invierno,Viale L2,243.3333334,9,1.167255853,0.531241032,Viale,L2,8.18,12,7.8,124,0.5,0.16,7.45,5,32,4.697,<0.03,10:37,08/08/2024
invierno,Inta L1,19.58333334,10,0.965075313,0.419126883,Inta,L1,9.49,13.9,9.2,783,0.58,0.2,7.5,0,30,1.1,<0.03,10:15,16/08/2024
invierno,Inta C,376.6666666,7,1.236284055,0.635324327,Inta,C,9.49,13.8,9.2,783,0.8,0.2,7.5,0,30,1.1,<0.03,10:29,16/08/2024
invierno,Inta L2,60.55555556,10,1.631513901,0.708557484,Inta,L2,9.51,13.7,10.5,787,0.64,0.64,7.5,0,30,1.1,<0.03,10:45,16/08/2024
invierno,Gazano L1,22613.33333,4,0.613827847,0.442783196,Gazano,L1,9.41,10.3,8.1,432,0.35,0.3,7.51,6,54,1.928,<0.03,08:10,08/08/2024
invierno,Gazano C,84.3115942,5,0.732796893,0.45531231,Gazano,C,9.18,11.1,8.3,460,0.28,0.28,7.51,6,54,1.928,<0.03,08:25,08/08/2024
invierno,Gazano L2,14066.66667,6,0.842386134,0.470144653,Gazano,L2,9.19,11.3,8.6,460,0.36,0.3,7.51,6,54,1.928,<0.03,08:40,08/08/2024
invierno,Crespo L1,2.088888888,5,0.921237441,0.572397005,Crespo,L1,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,<0.03,09:30,15/08/2024
invierno,Crespo C,1.130434783,5,1.102638178,0.68510762,Crespo,C,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,<0.03,09:35,15/08/2024
invierno,Crespo L2,6.19047619,5,0.760235653,0.47236097,Crespo,L2,9.11,12.5,9,1700,0.25,0.25,8.91,5,0,0.964,<0.03,09:45,15/08/2024
invierno,Hernandez L1,346.6666667,12,1.734285659,0.697927892,Hernandez,L1,7.4,10.7,3.5,260,0.45,0.1,6.4,7,134,3.701,<0.03,10:05,15/08/2024
invierno,Hernandez C,171.6666667,9,1.603154092,0.72962687,Hernandez,C,7.5,12.8,11.4,189,0.75,0.1,6.4,7,134,3.701,<0.03,10:15,15/08/2024
invierno,Hernandez L2,366.6666667,15,2.246215818,0.829458707,Hernandez,L2,7.5,12.8,3.5,190,0.3,0.1,6.4,7,134,3.701,<0.03,10:30,15/08/2024
invierno,Espinillo L1,5.689655172,9,1.802404378,0.820309584,Espinillo,L1,8.5,16,9.5,1380,0.63,0.63,7.6,5,38,1.586,<0.03,12:30,15/08/2024
invierno,Espinillo C,3.366666667,14,2.214679942,0.83919357,Espinillo,C,8.46,16.4,9.8,1450,0.78,0.78,7.6,5,38,1.586,<0.03,12:50,15/08/2024
invierno,Espinillo L2,1.386363637,9,1.949797097,0.887390901,Espinillo,L2,8.41,18.5,9.5,1445,0.57,0.57,7.6,5,38,1.586,<0.03,13:15,15/08/2024
verano,Termas L1,42.5,17,2.274266753,0.802716378,Termas,L1,8.36,27.1,5.2,177,0.52,0.52,10.82,0,27,<0.5,0,11:20,12/03/2024
