Laguna,Estacion,N_mean,N_sd,S_mean,S_sd,H_mean,H_sd,E_mean,E_sd
Crespo,Invierno,3.1366,2.6878,5.0000,0.0000,0.9280,0.1713,0.5766,0.1064
Crespo,Primavera,217.2222,141.5228,10.3333,4.5092,1.6984,0.7515,0.7231,0.2131
Crespo,Verano,213.7037,130.5134,10.0000,2.6458,1.4442,0.1802,0.6389,0.0861
Crespo,Otoño,142.4074,39.0486,9.3333,1.1547,1.4712,0.3187,0.6563,0.1095
Espinillo,Invierno,3.4809,2.1539,10.6667,2.8868,1.9890,0.2089,0.8490,0.0346
Espinillo,Primavera,205.5556,147.9239,14.0000,3.6056,2.1363,0.3070,0.8147,0.0331
Espinillo,Verano,63.5556,3.9063,11.6667,6.0277,1.7077,0.7255,0.7092,0.1571
Espinillo,Otoño,42.4786,61.5978,5.6667,0.5774,1.1348,0.0711,0.6564,0.0402
Gazano,Invierno,12254.7705,11373.2770,5.0000,1.0000,0.7297,0.1143,0.4561,0.0137
Gazano,Primavera,2130.3704,2881.9182,11.3333,1.5275,1.0751,0.4957,0.4517,0.2298
Gazano,Verano,1536.6667,1340.3109,8.6667,1.1547,1.2152,0.0629,0.5658,0.0500
Gazano,Otoño,3003.3333,3128.8496,5.6667,1.1547,1.0126,0.1827,0.5904,0.1109
Hernandez,Invierno,295.0000,107.2769,12.0000,3.0000,1.8612,0.3398,0.7523,0.0686
Hernandez,Primavera,318.3333,98.1637,14.6667,1.5275,2.2055,0.0235,0.8232,0.0314
Hernandez,Verano,523.3333,183.1514,23.6667,3.0551,2.7302,0.1736,0.8638,0.0199
Hernandez,Otoño,407.7778,61.9438,19.3333,2.5166,2.4073,0.0669,0.8156,0.0493
Inta,Invierno,152.2685,195.4113,9.0000,1.7321,1.2776,0.3351,0.5877,0.1505
Inta,Primavera,167.7778,41.4103,8.3333,2.0817,1.6135,0.4416,0.7623,0.1300
Inta,Verano,72.4074,27.8573,11.3333,1.5275,1.7602,0.1757,0.7290,0.0912
Inta,Otoño,46.0802,37.4544,10.3333,2.0817,1.8632,0.5923,0.7912,0.1904
Termas,Invierno,346.2963,219.0731,8.3333,1.5275,1.4945,0.3601,0.7025,0.1163
Termas,Primavera,164.6296,142.5867,12.3333,2.3094,2.0647,0.2614,0.8234,0.0456
Termas,Verano,30.7176,10.6221,17.3333,3.5119,2.3507,0.1211,0.8292,0.0335
Termas,Otoño,66.4444,3.1505,9.0000,3.6056,1.4475,0.2247,0.6771,0.0252
Viale,Invierno,470.0000,463.6090,8.0000,1.0000,1.1043,0.0973,0.5337,0.0579
Viale,Primavera,160.7407,53.3488,7.6667,1.5275,1.4599,0.1992,0.7230,0.0806
Viale,Verano,697.7778,296.6916,11.0000,4.0000,1.5510,0.2358,0.6606,0.0116
Viale,Otoño,92.3611,41.3411,11.6667,2.8868,1.7202,0.4511,0.6993,0.1230
